Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
Total;Total;2018;46.722.980
01 Andalucía;Total;2018;8.384.408
02 Aragón;Total;2018;1.308.728
03 Asturias, Principado de;Total;2018;1.028.244
04 Balears, Illes;Total;2018;1.128.908
05 Canarias;Total;2018;2.127.685
06 Cantabria;Total;2018;580.229
07 Castilla y León;Total;2018;2.409.164
08 Castilla - La Mancha;Total;2018;2.026.807
09 Cataluña;Total;2018;7.600.065
10 Comunitat Valenciana;Total;2018;4.963.703
11 Extremadura;Total;2018;1.072.863
12 Galicia;Total;2018;2.701.743
13 Madrid, Comunidad de;Total;2018;6.578.079
14 Murcia, Región de;Total;2018;1.478.509
15 Navarra, Comunidad Foral de;Total;2018;647.554
16 País Vasco;Total;2018;2.199.088
17 Rioja, La;Total;2018;315.675
18 Ceuta;Total;2018;85.144
19 Melilla;Total;2018;86.384
