class_hchId,ORPHAcode,preferredTerm
146,34217,Naxos disease
146,293888,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-left variant"
146,293899,"Inherited isolated arrhythmogenic ventricular dysplasia, biventricular variant"
146,293910,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant"
146,217656,Inherited isolated arrhythmogenic cardiomyopathy
146,247,Inherited arrhythmogenic cardiomyopathy
146,439854,Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease
146,308552,"Glycogen storage disease due to acid maltase deficiency, infantile onset"
146,420429,"Glycogen storage disease due to acid maltase deficiency, late-onset"
146,365,Glycogen storage disease due to acid maltase deficiency
146,366,Glycogen storage disease due to glycogen debranching enzyme deficiency
146,34587,Danon disease
146,137625,Glycogen storage disease due to muscle and heart glycogen synthase deficiency
146,217572,Glycogen storage disease with hypertrophic cardiomyopathy
146,118,Beta-mannosidosis
146,349,Fucosidosis
146,324,Fabry disease
146,217085,"Mucopolysaccharidosis type 2, severe form"
146,217093,"Mucopolysaccharidosis type 2, attenuated form"
146,580,Mucopolysaccharidosis type 2
146,93473,Hurler syndrome
146,93476,Hurler-Scheie syndrome
146,217581,Lysosomal disease with hypertrophic cardiomyopathy
146,550,MELAS
146,551,MERRF
146,1349,Mitochondrial DNA-related cardiomyopathy and hearing loss
146,1369,Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome
146,99718,Leber plus disease
146,314637,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency
146,319678,Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome
146,324525,Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation
146,352563,Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency
146,369913,Combined oxidative phosphorylation defect type 17
146,444013,Combined oxidative phosphorylation defect type 23
146,496790,Ocular anomalies-axonal neuropathy-developmental delay syndrome
146,457185,Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome
146,570491,QRSL1-related combined oxidative phosphorylation defect
146,656279,1p36.33 duplication syndrome
146,217587,Mitochondrial disease with hypertrophic cardiomyopathy
146,746,Mitochondrial trifunctional protein deficiency
146,159,Carnitine-acylcarnitine translocase deficiency
