ORPHAcode,Preferred term,Typology,PrevalenceType,ValMoy,PrevalenceClass,PrevalenceQualification,PrevalenceGeographic,PrevalenceValidationStatus,Source
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Cases/families,4.0,,Case(s),Worldwide,Validated,11389160[PMID]_9689990[PMID]_ [EXPERT]
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_11389160[PMID]_9689990[PMID]
58,Alexander disease,Disease,Annual incidence,0.037,<1 / 1 000 000,Value and class,Japan,Validated,21533827[PMID]_[EXPERT]
58,Alexander disease,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,15523498[PMID]
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_15523498[PMID]
61,Alpha-mannosidosis,Disease,Point prevalence,0.1,1-9 / 1 000 000,Value and class,Europe,Validated,European Medicines Agency 2005[INST]
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.09,<1 / 1 000 000,Value and class,Australia,Validated,9918480[PMID]
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.13,1-9 / 1 000 000,Value and class,Norway,Not yet validated,7900112[PMID]
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.09,<1 / 1 000 000,Value and class,Netherlands,Validated,10480370[PMID]
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.12,1-9 / 1 000 000,Value and class,Portugal,Validated,14685153[PMID]
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.38,1-9 / 1 000 000,Value and class,Czech Republic,Validated,20490927[PMID]
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.07,<1 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,15523498[PMID]
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_15523498[PMID]
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,6979929[PMID]
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_6979929[PMID]
93,Aspartylglucosaminuria,Disease,Prevalence at birth,0.2,1-9 / 1 000 000,Value and class,Australia,Validated,9918480[PMID]
93,Aspartylglucosaminuria,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
93,Aspartylglucosaminuria,Disease,Prevalence at birth,0.62,1-9 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
93,Aspartylglucosaminuria,Disease,Prevalence at birth,3.35,1-9 / 100 000,Value and class,Finland,Validated,27906067[PMID]
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Cases/families,12.0,,Case(s),Worldwide,Validated,7252997[PMID]_28285769[PMID]
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_7252997[PMID]_28285769[PMID]
585,Multiple sulfatase deficiency,Disease,Cases/families,154.0,,Case(s),Worldwide,Validated,36980153[PMID]_37732042[PMID]_ORPHANET
585,Multiple sulfatase deficiency,Disease,Point prevalence,0.2,1-9 / 1 000 000,Value and class,Worldwide,Validated,33144036[PMID]
118,Beta-mannosidosis,Disease,Prevalence at birth,0.14,1-9 / 1 000 000,Value and class,Europe,Validated,14685153[PMID]_10480370[PMID]_20490927[PMID]
118,Beta-mannosidosis,Disease,Prevalence at birth,0.16,1-9 / 1 000 000,Value and class,Czech Republic,Validated,20490927[PMID]
118,Beta-mannosidosis,Disease,Prevalence at birth,0.13,1-9 / 1 000 000,Value and class,Netherlands,Validated,10480370[PMID]
118,Beta-mannosidosis,Disease,Prevalence at birth,0.12,1-9 / 1 000 000,Value and class,Portugal,Validated,14685153[PMID]
118,Beta-mannosidosis,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
141,Canavan disease,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
141,Canavan disease,Disease,Annual incidence,7.0,1-9 / 100 000,Value and class,Specific population,Validated,20301412[PMID]_ORPHANET
141,Canavan disease,Disease,Prevalence at birth,1.0,1-9 / 100 000,Value and class,Worldwide,Validated,[EXPERT]
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Cases/families,10.0,,Family(ies),Worldwide,Validated,[EXPERT]
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_20952379[PMID]
166078,Von Willebrand disease type 1,Clinical subtype,Point prevalence,0.0,1-5 / 10 000,Class only,Europe,Not yet validated,ORPHANET
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Cases/families,10.0,,Case(s),Worldwide,Validated,25809939[PMID]
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25809939[PMID]
213,Cystinosis,Disease,Prevalence at birth,0.75,1-9 / 1 000 000,Value and class,Worldwide,Validated,12110740[PMID]_18008091[PMID]_11562417[PMID]
213,Cystinosis,Disease,Prevalence at birth,0.5,1-9 / 1 000 000,Value and class,Europe,Validated,[EXPERT]
213,Cystinosis,Disease,Prevalence at birth,0.31,1-9 / 1 000 000,Value and class,France,Validated,1018302[PMID]
213,Cystinosis,Disease,Prevalence at birth,0.59,1-9 / 1 000 000,Value and class,Germany,Validated,3921756[PMID]
213,Cystinosis,Disease,Prevalence at birth,2.1,1-9 / 100 000,Value and class,United Kingdom,Validated,9610798[PMID]
213,Cystinosis,Disease,Prevalence at birth,0.52,1-9 / 1 000 000,Value and class,Australia,Validated,9918480[PMID]
213,Cystinosis,Disease,Point prevalence,1.5,1-9 / 100 000,Value and class,Europe,Validated,European Medicines Agency 2014[INST]
213,Cystinosis,Disease,Prevalence at birth,0.87,1-9 / 1 000 000,Value and class,Denmark,Validated,975942[PMID]_27102039[PMID]
213,Cystinosis,Disease,Prevalence at birth,0.38,1-9 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]_27102039[PMID]
213,Cystinosis,Disease,Prevalence at birth,1.6,1-9 / 100 000,Value and class,Specific population,Validated,1937486[PMID]_25274184[PMID]
166084,Von Willebrand disease type 2A,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
333,Farber disease,Disease,Cases/families,96.0,,Case(s),Worldwide,Validated,29048419[PMID]
333,Farber disease,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_29048419[PMID]
166081,Von Willebrand disease type 2,Clinical subtype,Point prevalence,0.935,1-9 / 1 000 000,Class only,Worldwide,Validated,PMID: 30306084
349,Fucosidosis,Disease,Cases/families,161.0,,Case(s),Worldwide,Validated,36082656[PMID]
349,Fucosidosis,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,36082656[PMID]_ORPHANET
349,Fucosidosis,Disease,Prevalence at birth,0.1,1-9 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
349,Fucosidosis,Disease,Prevalence at birth,0.63,1-9 / 1 000 000,Value and class,Cuba,Validated,27706744[PMID]
