data,AverageAgeOfOnset,Date,DisorderGroup,ORPHAcode,OrphanetURL,Preferred term,TypeOfInheritance,Typology
5,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,5,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,['Autosomal recessive'],Disease
6,['All ages'],2024-12-03 07:13:23,Disorder,6,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=6,3-methylcrotonyl-CoA carboxylase deficiency,['Autosomal recessive'],Disease
7,"['Antenatal', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,7,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=7,3C syndrome,"['Autosomal recessive', 'X-linked recessive']",Malformation syndrome
8,['All ages'],2024-12-03 07:13:23,Disorder,8,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=8,"47,XYY syndrome","['Not applicable', 'Unknown']",Malformation syndrome
9,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,9,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=9,Tetrasomy X syndrome,,Malformation syndrome
10,"['Adolescent', 'Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,10,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=10,"48,XXYY syndrome","['Not applicable', 'Unknown']",Malformation syndrome
11,['Neonatal'],2024-12-03 07:13:23,Disorder,11,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=11,Pentasomy X syndrome,,Malformation syndrome
13,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Subtype of disorder,13,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=13,6-pyruvoyl-tetrahydropterin synthase deficiency,['Autosomal recessive'],Clinical subtype
14,"['Childhood', 'Infancy']",2024-12-03 07:13:23,Disorder,14,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=14,Abetalipoproteinemia,['Autosomal recessive'],Disease
15,['Neonatal'],2024-12-03 07:13:23,Disorder,15,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=15,Achondroplasia,['Autosomal dominant'],Disease
16,['Infancy'],2024-12-03 07:13:23,Disorder,16,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=16,Blue cone monochromatism,['X-linked recessive'],Disease
17,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,17,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=17,Fatal infantile lactic acidosis with methylmalonic aciduria,['Autosomal recessive'],Disease
18,['All ages'],2024-12-03 07:13:23,Disorder,18,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=18,Distal renal tubular acidosis,"['Autosomal dominant', 'Autosomal recessive', 'Not applicable']",Disease
19,['Childhood'],2024-12-03 07:13:23,Group of disorders,19,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=19,2-hydroxyglutaric aciduria,"['Autosomal dominant', 'Autosomal recessive']",Clinical group
20,['All ages'],2024-12-03 07:13:23,Disorder,20,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=20,3-hydroxy-3-methylglutaric aciduria,['Autosomal recessive'],Disease
22,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,22,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=22,Succinic semialdehyde dehydrogenase deficiency,['Autosomal recessive'],Disease
23,['All ages'],2024-12-03 07:13:23,Disorder,23,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=23,Argininosuccinic aciduria,['Autosomal recessive'],Disease
24,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,24,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=24,Fumaric aciduria,['Autosomal recessive'],Disease
25,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,25,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=25,Glutaryl-CoA dehydrogenase deficiency,['Autosomal recessive'],Disease
26,['All ages'],2024-12-03 07:13:23,Disorder,26,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=26,Methylmalonic acidemia with homocystinuria,"['Autosomal recessive', 'X-linked recessive']",Disease
27,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,27,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=27,Vitamin B12-unresponsive methylmalonic acidemia,['Autosomal recessive'],Disease
28,['Childhood'],2024-12-03 07:13:23,Disorder,28,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=28,Vitamin B12-responsive methylmalonic acidemia,['Autosomal recessive'],Disease
29,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Subtype of disorder,29,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=29,Mevalonic aciduria,['Autosomal recessive'],Clinical subtype
30,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,30,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=30,Hereditary orotic aciduria,['Autosomal recessive'],Disease
31,['Neonatal'],2024-12-03 07:13:23,Disorder,31,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=31,Oxoglutaric aciduria,['Autosomal recessive'],Disease
32,['Neonatal'],2024-12-03 07:13:23,Disorder,32,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=32,Glutathione synthetase deficiency,['Autosomal recessive'],Disease
33,"['Adolescent', 'Adult', 'Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,33,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=33,Isovaleric acidemia,['Autosomal recessive'],Disease
35,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,35,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=35,Propionic acidemia,['Autosomal recessive'],Disease
36,['Neonatal'],2024-12-03 07:13:23,Disorder,36,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=36,Acrocallosal syndrome,['Autosomal recessive'],Malformation syndrome
37,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,37,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=37,Acrodermatitis enteropathica,['Autosomal recessive'],Disease
38,"['Adolescent', 'Adult']",2024-12-03 07:13:23,Disorder,38,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=38,Acrokeratoelastoidosis of Costa,"['Autosomal dominant', 'Not applicable']",Disease
39,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,39,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=39,Acromelanosis,['Unknown'],Disease
40,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,40,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=40,"Acromesomelic dysplasia, Maroteaux type",['Autosomal recessive'],Malformation syndrome
41,['Childhood'],2024-12-03 07:13:23,Disorder,41,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=41,Dyschromatosis symmetrica hereditaria,['Autosomal dominant'],Disease
42,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,42,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=42,Medium chain acyl-CoA dehydrogenase deficiency,['Autosomal recessive'],Disease
43,"['Adolescent', 'Adult', 'Childhood', 'Elderly']",2024-12-03 07:13:23,Disorder,43,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=43,X-linked adrenoleukodystrophy,['X-linked dominant'],Disease
44,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,44,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=44,Neonatal adrenoleukodystrophy,['Autosomal recessive'],Disease
