pmid,title,pub_year,pubtype,journal
19973918,A Case of a Rare Disease of the Long Bones terminating in Sarcoma of the Femur.,1909,Journal Article,Proceedings of the Royal Society of Medicine
19979883,A Rare Disease in Two Brothers.,1917,Journal Article,Proceedings of the Royal Society of Medicine
30438855,"A Rare Disease of the Conjunctiva, with Spontaneous Cure.",1933,Journal Article,Glasgow medical journal
20282579,"Sandifort's Observationes, chapter I, concerning a very rare disease of the heart.",1946,Biography; Journal Article,Bulletin of the history of medicine
20985704,"Chronic erosive, granulomatous, atrophic gastritis; a case report of a rare disease.",1946,Journal Article,Gastroenterology
15410547,Is early osteochondritis of the patella really a rare disease?,1950,Journal Article,Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca
14822046,[Rare disease of the cornea caused by defects of Descemer's membranes].,1951,Journal Article,Ceskoslovenska oftalmologie
13026929,"[An unusual case of a rare disease, gonococcic meningitis].",1952,Journal Article,La Presse medicale
13012938,[A rare disease caused by accident: Mondor's disease].,1952,Journal Article,Minerva medica
13083846,[Conjunctivitis: a rare disease].,1953,Journal Article,Gazette medicale de France
13043378,[Feer's disease (acrodynia); a rare disease].,1953,Journal Article,Deutsche medizinische Wochenschrift (1946)
13221098,Scurvy; a rare disease?,1954,Journal Article,Glasgow medical journal
13177857,[Right-sided subphrenic abscess with perforation into the bronchial tree (thoracic symptoms and diaphrenic complications of a rare disease)].,1954,Journal Article,Radiologia clinica
13396803,[Osteomyelitis of the maxilla as a rare disease in infants].,1956,Journal Article,Ceskoslovenska oftalmologie
13333831,[A rare disease of femoral diaphysis].,1956,Journal Article,Minerva chirurgica
13416619,Myasthenia-a rare disease?,1957,Journal Article,The Journal of the Indiana State Medical Association
13586530,A RARE common disease and a common rare disease: brucellosis and leptospirosis.,1958,Journal Article,GP
13534094,[Can we ignore the existence of general paralysis as a rare disease].,1958,Journal Article,Annales medico-psychologiques
13566877,[Besnier-Boeck-Schaumann disease as a rare disease of childhood].,1958,Journal Article,Pediatria polska
13818512,[Apropos of a rare disease].,1959,Journal Article,La Medecine infantile
13628871,Epidermolysis bullosa: a rare disease of anaesthetic interest.,1959,Journal Article,British journal of anaesthesia
13730495,On a rare disease due to Alternaria tenuis Nees (alternariasis).,1960,Journal Article,The Tohoku journal of experimental medicine
13872182,Epidermolysis bullosa: a rare disease of dental interest. Review of the literature and report of a case.,1961,Case Reports; Journal Article,"Oral surgery, oral medicine, and oral pathology"
13701631,The problem of syphilis. Is it a rare disease?,1961,Journal Article,Journal of the National Medical Association
13716410,[A rare disease: chondroma of the tendon sheaths. Report of a case and review of the literature].,1961,Journal Article,Annales de chirurgie
14495095,[Is Scheuermann's disease a rare disease? (A study on the coincidence of Scheuermann's disease and lumbar nucleus pulposus hernia)].,1962,Journal Article,Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin
14449591,[A rare disease: chondroma of tendon sheaths. Report of a case and review of the literature].,1962,Case Reports; Journal Article,Bulletin de la Societe des sciences medicales du Grand-Duche de Luxembourg
14097948,"[MUCOVISCIDOSIS IN ADULTS, A RARE DISEASE].",1963,Journal Article,Schweizerische medizinische Wochenschrift
14115063,[A RARE DISEASE OF THE MESENTERY: MESENTERIC LIPOBLASTOMA].,1963,Journal Article,Marseille chirurgical
14043570,[ON A RARE DISEASE OF THE LUNGS IN PREMATURE INFANTS].,1963,Journal Article,Annales paediatrici. International review of pediatrics
14193345,[MUCOVISCIDOSIS OF THE ADULT: A NOT TOO RARE DISEASE].,1964,Journal Article,Il Policlinico. Sezione pratica
14238349,[GONADAL DYSGENESIS (TURNER'S SYNDROME): A RARE DISEASE BUT VALUABLE INSTRUCTIVELY; A CHROMOSOME STUDY OF 35 CASES].,1964,Journal Article,Schweizerische medizinische Wochenschrift
14145295,[APROPOS OF A RARE DISEASE: PSEUDO-HEMOPHILIC ARTHRITIS CAUSED BY ISOLATED PROCONVERTIN DEFICIENCY].,1964,Journal Article,Annales de pediatrie
5844564,Fabry's disease (angiokeratoma corporis diffusum): case report on a rare disease.,1965,Case Reports; Journal Article,Annals of internal medicine
14274545,REPORT ON COREOPSIS (A RARE? DISEASE?).,1965,Journal Article,Psychosomatics
