pmid,title,pub_year,pubtype,journal
34327338,Rapid whole-exome sequencing facilitates precision medicine in paediatric rare disease patients and reduces healthcare costs.,2020,Journal Article,The Lancet regional health. Western Pacific
34317926,"Commentary: Isolated unilateral absence of pulmonary artery, a rare disease with diverse presentations.",2020,Editorial,JTCVS techniques
34000216,Genetic and Rare Disease Diagnoses: A Review of Resources for Patients and Health Care Professionals.,2020,Journal Article; Review,Medical reference services quarterly
33568969,Diffuse Esophageal Squamous Papillomatosis: A Rare Disease Associated with Acanthosis Nigricans and Tripe Palms.,2020,Case Reports; Journal Article,Case reports in gastroenterology
33542863,"Hepatobiliary Actinomycosis, a Rare Presentation of a Rare Disease!",2020,Case Reports; Journal Article,Cureus
33489404,Schwannoma of the Base of the Tongue: A Case Report of a Rare Disease and Review of Literatures.,2020,Case Reports; Journal Article,Case reports in surgery
33457532,An Evolved Approach to Advisory Boards in Rare Disease Drug Development: 5-Step Model to Finding and Engaging Patient Advisors.,2020,Case Reports; Journal Article,Journal of patient experience
33456244,Primary oral tuberculosis: A case series of a rare disease.,2020,Case Reports; Journal Article,Journal of oral and maxillofacial pathology : JOMFP
33426176,Reply to: Fatal Familial Insomnia: A Rare Disease with Unique Clinico-Neurophysiological Features.,2021,Journal Article,Movement disorders clinical practice
33426175,Fatal Familial Insomnia: A Rare Disease with Unique Clinico-Neurophysiological Features.,2021,Journal Article,Movement disorders clinical practice
33409099,Rare Presentation of a Rare Disease: Signet-Ring Cell Gastric Adenocarcinoma in Rothmund-Thomson Syndrome.,2020,Case Reports; Journal Article,Cureus
33408837,"Metastatic extramammary paget disease, a remarkable clinical case and a brief review of a rare disease.",2020,Journal Article,Dermatology reports
33375998,Lessons from an Experiential Approach to Patient Community Engagement in Rare Disease.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Clinical therapeutics
33369053,Premature or nevoid sebaceous hyperplasia? Two case reports of a rare disease.,2021,Case Reports; Journal Article,Journal of cosmetic dermatology
33354467,Combination of Common Problem in a Rare Disease: Right Iliac Fossa Pain in a Chronic Myeloid Leukemia Patient.,2020,Case Reports; Journal Article,Cureus
33342888,Familial Giant Enchondroma of Thoracic Spine: A Rare Manifestation of a Rare Disease.,2020,Case Reports; Journal Article,Neurology India
33330609,Esophageal Rhabdoid-Like Tumor: A Rare Disease With Aggressive Clinical Behavior.,2020,Case Reports; Journal Article,Frontiers in surgery
