C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,176,210,386,38,49,87
Aragón,6,13,19,13,7,20
Canarias,15,23,38,10,14,24
Castilla y León,65,86,151,48,47,95
Cataluña,108,134,242,4,0,4
Comunidad Valenciana,54,67,121,81,66,147
Galicia,55,67,122,38,49,87
"Madrid, Comunidad de",139,188,327,47,51,98
"Murcia, Región de",22,31,53,9,14,23
"Navarra, Comunidad Foral de",12,12,24,6,9,15
País Vasco,12,10,22,3,1,4
"Rioja, La",8,1,9,1,2,3
Total,672,842,1.514,298,309,607
