,Comunidad Autónoma de residencia,,,,,,,,,,,
Enfermedad,aículadnA,nógarA,sairanaC,"y nóeL
allitsaC",añulataC,dadinumoC anaicnelaV,aicilaG,",dirdaM dadinumoC ed",",aicruM ed
nóigeR",",arravaN dadinumoC ed
laroF","ocsaV
síaP","aL
,ajoiR"
Esclerosis lateral amiotrófica,"0,917","0,204","0,231","0,685","0,321","0,384","0,211","0,730","0,511","0,662","0,101","0,415"
Fenilcetonuria,"0,261","0,136","0,109","0,245","0,344","0,187","0,496","0,384","0,370","0,262","0,124","0,032"
Fibrosis quística,"0,672",,"0,367","0,748","0,481","1,005","0,552","0,803","0,860","0,431","0,078","0,096"
Hemofilia A,"1,000","0,583","0,435","1,001","0,383","0,394","0,507","0,906","0,531","0,923","0,317","0,287"
Osteogénesis imperfecta,"0,248",,,"0,303","0,012","0,316","0,111","0,416","0,262","0,354","0,129","0,223"
Síndrome de Angelman,"0,104",,,"0,021","0,087","0,030","0,044","0,104","0,094","0,215","0,032",
Síndrome de Beckwith Wiedemann,"0,138",,,"0,004","0,120","0,018","0,007","0,134","0,148","0,108","0,028","0,606"
Síndrome de Goodpasture,"0,153","0,008","0,027","0,046","0,029","0,056","0,022","0,251","0,067","0,031","0,000","0,287"
Síndrome de Marfan,"0,369",,"0,195","0,407","0,136","0,344","0,130","0,661","0,370","0,569","0,147","0,064"
Síndrome de Prader Willi,"0,158",,"0,100","0,108","0,170","0,052","0,026","0,294","0,168","0,231","0,046","0,159"
Síndrome de X fragil,"0,274",,"0,050","0,228","0,161","0,046","0,033","0,226","0,894","0,369","0,202","0,096"
