Registros,"Antes de
2010",2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Andalucía,3.262,469,467,447,437,451,404,360,331,289,6.917
Aragón,,,,,,,,,31,428,459
Canarias,7,130,85,82,100,93,87,82,54,94,814
Castilla y León,470,333,227,264,205,221,217,206,218,168,2.529
Cataluña,1.075,391,271,244,223,226,189,213,277,280,3.389
"Comunidad
Valenciana",720,311,364,320,407,423,300,418,330,296,3.889
Galicia,222,45,27,28,43,27,11,12,13,871,1.299
"Madrid, Comunidad
de",3.090,503,507,449,467,458,463,547,548,651,7.683
"Murcia, Región de",631,108,130,99,134,79,81,70,73,78,1.483
"Navarra, Comunidad
Foral de",531,34,37,41,56,44,75,42,41,32,933
País Vasco,,,,,,,32,81,322,248,683
"Rioja, La",,116,2,3,26,31,26,35,31,30,300
Total,10.008,2.440,2.117,1.977,2.098,2.053,1.885,2.066,2.269,3.465,30.378
