Enfermedad,Grupos de edad,,,,,,,,,,,,,,,,,,,latoT
,1<,4-1,9-5,41-01,91-51,42-02,92-52,43-03,93-53,44-04,94-54,45-05,95-55,46-06,96-56,47-07,97-57,48-08,48>,
Ataxia de Friedreich,0,1,5,20,28,30,30,40,60,83,62,76,56,59,44,30,15,10,3,652
Atrofia Muscular Espinal Proximal,7,54,66,65,63,33,27,31,28,21,30,24,17,19,9,9,5,5,5,518
Complejo Esclerosis Tuberosa,1,57,136,153,151,131,128,163,207,225,166,135,85,65,48,27,16,10,2,1.906
Displasia Renal,23,326,461,373,192,90,50,41,34,29,18,12,9,11,3,7,6,5,3,1.693
Distrofia Miotónica de Steinert,3,17,49,82,103,146,164,205,338,509,494,500,370,280,186,104,51,22,11,3.634
Enfermedad de Fabry,0,2,9,13,20,11,18,26,28,32,52,43,51,31,18,21,9,4,4,392
Enfermedad de Gaucher,0,3,9,7,6,8,10,11,19,17,21,19,24,21,9,9,9,5,3,210
Enfermedad de Huntington,0,1,2,1,3,5,13,70,96,142,176,172,223,195,148,139,104,62,47,1.599
Enfermedad de Niemann Pick,0,7,10,4,1,8,4,5,3,9,3,1,5,4,2,3,2,1,2,74
Enfermedad de Rendu Osler,1,5,13,26,33,40,45,54,76,116,133,127,149,164,136,128,70,55,36,1.407
Enfermedad de Wilson,0,1,19,58,60,71,81,80,95,110,93,67,56,42,23,21,12,1,3,893
Esclerosis Lateral Amiotrófica,0,0,0,1,1,2,12,24,33,86,131,182,231,261,306,319,246,145,108,2.088
Fenilcetonuria,25,159,293,275,168,128,98,72,60,49,44,17,7,1,3,2,0,0,0,1.401
Fibrosis Quística,26,361,584,335,294,291,269,233,222,167,119,84,58,37,20,16,11,9,10,3.146
Hemofilia A,9,105,201,288,243,230,226,255,263,266,241,178,178,165,103,81,69,39,38,3.178
Osteogénesis Imperfecta,3,35,81,123,112,77,72,70,85,120,99,69,87,56,36,33,20,4,12,1.194
Síndrome de Angelman,0,24,58,66,53,45,29,27,13,6,6,1,1,1,0,0,0,0,0,330
