"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,140,182,322,0,2,2
Aragón,21,22,43,0,1,1
"Asturias, Principado de *",,,,,,
"Balears, Illes",25,18,43,0,0,0
Canarias,18,17,35,1,0,1
Cantabria *,1,0,1,0,0,0
Castilla-La Mancha *,,,,,,
Castilla y León,25,38,63,0,0,0
Catalunya,131,158,289,1,0,1
Ceuta *,2,1,3,0,0,0
Comunitat Valenciana,53,43,96,1,0,1
Extremadura *,,,,,,
Galicia,59,87,146,0,0,0
"Madrid, Comunidad de",104,147,251,2,0,2
Melilla *,0,3,3,0,0,0
"Murcia, Región de",23,36,59,0,0,0
"Navarra, Comunidad Foral de",10,7,17,0,0,0
País Vasco,14,15,29,0,0,0
"Rioja, La",1,0,1,0,0,0
TOTAL,627,774,1.401,5,3,8
