Enfermedad,Grupos de Edad,,,,,,,,,,,,,,,,,,,latoT
,1<,4-1,9-5,41-01,91-51,42-02,92-52,43-03,93-53,44-04,94-54,45-05,95-55,46-06,96-56,47-07,97-57,48-08,"sám
y
58",
"Ataxia de
Friedreich",0,0,0,0,3,1,4,8,8,13,22,23,21,20,27,14,11,12,6,193
"Atrofia muscular
espinal proximal",65,21,4,4,5,4,3,2,2,3,0,2,2,4,1,8,6,2,6,144
"Complejo
Esclerosis
Tuberosa",0,1,1,0,1,1,6,15,9,13,13,11,13,9,9,14,6,8,5,135
Displasia Renal,13,6,8,2,1,1,2,1,2,0,2,3,5,3,5,6,4,3,4,71
"Distrofia
miotónica de
Steinert",1,3,1,6,6,2,5,12,18,62,99,138,201,198,181,110,42,28,20,1.133
"Enfermedad de
Fabry",0,0,0,0,0,0,0,1,0,2,0,7,5,4,6,9,7,10,4,55
"Enfermedad de
Gaucher",2,1,0,0,0,0,0,0,0,2,1,3,1,2,2,4,2,2,9,31
"Enfermedad de
Huntington",0,0,0,1,1,4,3,13,31,51,75,69,114,116,113,134,91,99,93,1.008
"Enfermedad de
Niemann Pick",0,9,5,0,0,1,0,0,2,1,0,1,1,1,3,0,1,0,1,26
"Enfermedad de
Rendu Osler",0,1,1,0,0,2,0,1,2,1,4,10,12,23,27,50,64,74,73,345
"Enfermedad de
Wilson",0,1,0,0,2,2,2,3,1,7,8,7,9,4,4,7,4,2,3,66
"Esclerosis lateral
amiotrófica",1,0,0,0,1,4,3,9,38,99,178,355,505,702,941,1070,1048,797,411,6.162
Fenilcetonuria,2,0,1,1,0,0,0,0,1,0,2,3,1,1,1,0,0,0,4,17
Fibrosis quística,7,4,7,4,20,46,45,30,31,17,10,7,10,6,4,4,12,12,8,284
Hemofilia A,0,0,2,3,2,1,3,4,6,7,9,16,24,25,23,19,34,27,43,248
"Osteogénesis
imperfecta",2,0,0,1,1,3,1,2,1,4,6,2,6,5,9,8,9,9,4,73
"Retinosis
Pigmentaria y
Retinosis
Pigmentarias
Sindrómicas",0,0,1,0,1,1,1,2,4,2,9,19,21,23,32,47,70,94,169,496
"Síndrome de
Angelman",0,1,0,0,3,4,2,1,1,0,1,1,1,0,0,0,0,0,0,15
"Síndrome de
Beckwith
Wiedemann",1,0,0,3,2,1,1,2,2,1,1,2,0,1,0,2,1,2,1,23
"Síndrome de
Goodpasture",0,0,0,0,0,1,0,1,2,1,6,8,8,9,21,31,38,44,60,230
"Síndrome de
Marfan",5,2,0,2,0,1,4,6,15,11,11,19,19,10,6,13,5,6,2,137
"Síndrome de
Prader Willi",2,1,3,2,5,4,3,6,8,11,1,0,2,1,1,1,0,0,0,51
"Síndrome de
Williams",2,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,8
"Síndrome de X
frágil",0,0,0,0,0,0,1,1,3,1,0,2,4,3,7,3,3,1,3,32
Total,103,53,34,29,54,84,89,120,188,309,460,708,985,1.170,1.424,1.554,1.458,1.232,929,10.983
