"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,611","0,630","0,649","0,649","0,660"
Aragón,"0,517","0,381","0,341","0,323","0,308"
"Asturias, Principado de","1,305","1,285","1,135","1,011","0,968"
"Balears, Illes","0,348","0,343","0,286","0,372","0,418"
Canarias,"0,297","0,299","0,290","0,268","0,209"
Castilla y León,"0,784","0,819","0,781","0,762","0,763"
Catalunya,"0,400","0,461","0,515","0,568","0,544"
Comunitat Valenciana,"0,517","0,512","0,478","0,459","0,333"
Extremadura,"0,445","0,467","0,460","0,509","0,444"
Galicia,"0,325","0,359","0,293","0,270","0,308"
"Madrid, Comunidad de","0,587","0,599","0,678","0,723","0,639"
Melilla,"0,118","0,118","0,118","0,118","0,119"
"Murcia, Región de","0,536","0,549","0,565","0,479","0,423"
"Navarra, Comunidad Foral de","0,515","0,513","0,692","0,670","0,745"
País Vasco,"0,078","0,299","0,326","0,607","0,197"
"Rioja, La","0,384","0,415","0,542","0,538","0,664"
