Enfermedad Rara,VIVOS,,
,Hombres,Mujeres,Total
Artrogriposis múltiple congénita,189,194,383
Artrogriposis múltiple congénita distal,48,24,72
Ataxia de Friedreich,305,365,670
Atrofia muscular espinal proximal,337,294,631
Cirrosis biliar primaria,376,3.576,3.952
Complejo esclerosis tuberosa,1.091,1.186,2.277
Displasia renal,1.356,903,2.259
Distrofia miotónica de Steinert,1.968,2.129,4.097
Enfermedad de Fabry,281,306,587
Enfermedad de Gaucher,151,142,293
Enfermedad de Huntington,807,1.029,1.836
Enfermedad de Niemann-Pick,55,29,84
Enfermedad de Rendu-Osler,704,1.007,1.711
Enfermedad de Wilson,585,477,1.062
Esclerosis lateral amiotrófica,1.451,1.052,2.503
Fenilcetonuria,735,853,1.588
Fibrosis quística,1.776,1.792,3.568
Hemofilia A,3.244,417,3.662*
Hipotiroidismo congénito,963,1.313,2.276
Osteogénesis imperfecta,675,792,1.467
Retinosis pigmentaria y Retinosis pigmentarias sindrómicas,2.324,2.758,5.082
Síndrome de Angelman,194,195,389
Síndrome de Beckwith-Wiedemann,176,166,342
