Enfermedad Rara,FALLECIDOS,,
,Hombres,Mujeres,Total
Artrogriposis múltiple congénita,17,14,31
Artrogriposis múltiple congénita distal,0,0,0
Ataxia de Friedreich,127,118,245
Atrofia muscular espinal proximal,103,83,186
Cirrosis biliar primaria,226,1.098,1.324
Complejo esclerosis tuberosa,81,87,168
Displasia renal,82,39,121
Distrofia miotónica de Steinert,790,606,1.396
Enfermedad de Fabry,42,31,73
Enfermedad de Gaucher,21,21,42
Enfermedad de Huntington,623,647,1.270
Enfermedad de Niemann-Pick,19,16,35
Enfermedad de Rendu-Osler,223,207,430
Enfermedad de Wilson,52,39,91
Esclerosis lateral amiotrófica,4.253,3.612,7.866*
Fenilcetonuria,14,7,21
Fibrosis quística,175,202,377
Hemofilia A,279,56,335
Hipotiroidismo congénito,21,43,64
