Enfermedad Rara,Grupo de edad,,,,,,,,,,,,,,,,,,,latoT
,1<,4-1,9-5,41-01,91-51,42-02,92-52,43-03,93-53,44-04,94-54,45-05,95-55,46-06,96-56,47-07,97-57,48-08,"sám
y
58",
Artrogriposis múltiple congénita,6,26,47,60,43,42,24,29,28,24,16,8,14,8,6,2,,,,383
Artrogriposis múltiple congénita distal,1,9,16,6,8,5,3,2,3,4,4,2,3,1,2,,1,1,1,72
Ataxia de Friedreich,,,3,26,28,38,37,33,53,68,72,75,64,66,49,25,20,8,5,670
Atrofia muscular espinal proximal,13,67,69,63,90,44,36,31,37,31,37,30,21,27,13,10,6,4,2,631
Cirrosis biliar primaria,,,,,1,,3,18,49,140,217,357,517,550,490,479,443,321,367,3.952
Complejo esclerosis tuberosa,7,63,136,181,163,163,135,169,225,253,221,183,118,85,64,48,33,21,9,2.277
Displasia renal,48,304,498,500,274,146,79,74,55,51,31,32,27,33,24,26,22,24,11,2.259
Distrofia miotónica de Steinert,4,23,42,88,131,152,191,207,363,524,598,519,482,332,199,129,64,33,16,4.097
Enfermedad de Fabry,2,5,15,20,24,23,25,32,39,51,67,66,69,57,30,27,18,11,6,587
Enfermedad de Gaucher,1,2,12,12,10,13,13,15,17,24,30,20,38,29,24,12,12,5,4,293
Enfermedad de Huntington,,1,1,1,3,3,19,69,101,159,207,222,229,242,170,165,126,65,53,1.836
Enfermedad de Niemann-Pick,2,1,13,7,6,6,4,4,6,5,9,2,4,3,3,2,3,2,2,84
Enfermedad de Rendu-Osler,,10,11,31,45,49,54,69,89,127,166,161,184,193,176,144,101,59,42,1.711
Enfermedad de Wilson,,1,21,58,78,81,80,108,95,124,106,92,84,53,38,20,13,4,6,1.062
Esclerosis lateral amiotrófica,,,,2,2,7,14,24,37,96,170,193,283,333,361,360,307,155,159,2.503
Fenilcetonuria,32,172,248,312,230,146,114,101,59,68,49,26,15,4,5,4,1,1,1,1.588
Fibrosis quística,60,257,703,371,343,315,283,282,254,223,159,98,73,62,22,21,20,10,12,3.568
Hemofilia A,12,118,209,301,281,253,251,267,286,314,281,236,213,200,142,110,83,54,51,3.662
Hipotiroidismo congénito,117,520,738,353,159,64,45,41,47,35,40,29,23,14,11,17,7,8,8,2.276
Osteogénesis imperfecta,5,38,101,139,137,104,86,87,108,120,130,100,106,77,55,31,24,8,11,1.467
"Retinosis pigmentaria y Retinosis
pigmentaria sindrómicas",,4,39,62,81,109,146,165,277,396,454,535,582,536,443,406,362,233,252,5.082
Síndrome de Angelman,,33,60,72,64,38,49,35,15,16,5,1,,,1,,,,,389
Síndrome de Beckwith-Wiedemann,8,42,79,78,46,28,13,10,6,8,7,4,8,1,1,2,,,1,342
Síndrome de Goodpasture,,,1,1,8,13,12,22,20,23,19,28,39,52,42,58,32,39,29,438
Síndrome de Marfan,,25,77,135,155,148,126,152,156,187,204,173,107,100,54,34,23,7,4,1.867
Síndrome de Prader-Willi,14,64,152,149,116,91,85,45,36,45,25,16,1,1,1,2,,,,843
Síndrome de Williams,7,45,73,108,80,57,40,32,23,19,17,3,5,,,,,,,509
Síndrome de X frágil,1,27,117,167,160,157,131,98,85,55,52,25,23,16,12,13,8,3,3,1.153
Tetralogía de Fallot,33,159,225,250,201,103,133,118,140,121,120,112,44,41,26,6,4,1,,1.837
Total (-),373,2.016,3.706,3.553,2.967,2.398,2.231,2.329,2.709,3.311,3.513,3.348,3.376,3.116,2.464,2.153,1.733,1.077,1.055,47.438
