"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS1,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTA
Andalucía,8,126,134,1,5,6
Aragón,0,0,0,0,0,0
"Asturias, Principado de",0,0,0,0,0,0
"Balears, Illes",16,126,142,7,15,22
Canarias,10,71,81,6,28,34
Cantabria*,,,,,,
Castilla-La Mancha*,1,,1,,,
Castilla y León,86,664,750,41,183,224
Catalunya,2,21,23,0,2,2
Ceuta*,,,,,,
Comunitat Valenciana,52,465,517,44,232,276
Extremadura,17,125,142,20,65,85
Galicia,9,143,152,1,5,6
"Madrid, Comunidad de",137,1.470,1.607,88,457,545
Melilla,,,,,,
"Murcia, Región de",16,172,188,13,80,93
"Navarra, Comunidad Foral de",4,14,18,0,2,2
País Vasco,16,162,178,3,18,21
"Rioja, La",2,17,19,3,9,12
TOTAL,376,3.576,3.952,227,1.101,1.328
