"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS2,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,543,519,1.062,148,131,279
Aragón,18,24,42,1,2,3
"Asturias, Principado de",15,14,29,16,18,34
"Balears, Illes",36,22,58,14,18,32
Canarias,55,69,124,27,16,43
Cantabria*,,,,,,
Castilla-La Mancha*,2,3,5,1,,1
Castilla y León,106,126,232,85,66,151
Catalunya,222,280,502,56,37,93
Ceuta*,,,,,,
Comunitat Valenciana,148,173,321,109,80,189
Extremadura,32,48,80,23,12,35
Galicia,22,33,55,5,5,10
"Madrid, Comunidad de",425,457,882,187,131,318
Melilla,,,,,,
"Murcia, Región de",70,67,137,27,24,51
"Navarra, Comunidad Foral de",94,108,202,43,33,76
País Vasco,157,164,321,28,24,52
"Rioja, La",26,25,51,22,12,34
TOTAL,1.971,2.132,4.103,792,609,1.401
