"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,248","0,247","0,246","0,243","0,240","0,248"
Aragón,,,,,"0,023","0,023"
"Asturias, Principado de","0,039","0,039","0,039","0,049","0,049","0,040"
"Balears, Illes","0,035","0,044","0,052","0,102","0,127","0,135"
Canarias,"0,014","0,014","0,014","0,023","0,028","0,027"
Castilla y León,"0,016","0,021","0,037","0,046","0,055","0,080"
Catalunya,"0,100","0,105","0,111","0,126","0,130","0,142"
Comunitat Valenciana,"0,097","0,113","0,114","0,109","0,110","0,100"
Extremadura,"0,028","0,037","0,047","0,047","0,038","0,038"
Galicia,"0,089","0,104","0,126","0,126","0,126","0,130"
"Madrid, Comunidad de","0,056","0,063","0,083","0,094","0,097","0,113"
Melilla,,,,,,
"Murcia, Región de","0,075","0,081","0,080","0,093","0,138","0,163"
"Navarra, Comunidad Foral de","0,093","0,093","0,092","0,091","0,076","0,075"
País Vasco,"0,009","0,059","0,077","0,077","0,081","0,100"
"Rioja, La","0,000","0,000","0,000","0,000","0,000","0,000"
