"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,124,156,280,31,29,60
Aragón,3,6,9,0,2,2
"Asturias, Principado de",8,7,15,6,4,10
"Balears, Illes",16,23,39,2,6,8
Canarias,34,65,99,14,17,31
Cantabria*,4,4,8,,,
Castilla-La Mancha*,,1,1,,,
Castilla y León,52,67,119,31,22,53
Catalunya,141,220,361,11,12,23
Ceuta*,,,,,,
Comunitat Valenciana,67,90,157,36,31,67
Extremadura,20,16,36,5,8,13
Galicia,32,50,82,32,18,50
"Madrid, Comunidad de",118,167,285,36,39,75
Melilla,,,,,,
"Murcia, Región de",28,32,60,2,5,7
"Navarra, Comunidad Foral de",10,16,26,6,7,13
País Vasco,43,80,123,9,5,14
"Rioja, La",6,7,13,2,2,4
TOTAL,706,1.007,1.713,223,207,430
