"Comunidad Autónoma de
residencia",VIVO,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,58,65,123,13,11,24
Aragón,1,1,2,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",0,0,0,0,0,0
Canarias,1,4,5,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,4,0,4,2,0,2
Catalunya,19,15,34,0,0,0
Ceuta*,,,,,,
Comunitat Valenciana,10,8,18,1,0,1
Extremadura,4,3,7,1,0,1
Galicia,2,3,5,0,0,0
"Madrid, Comunidad de",42,40,82,0,3,3
Melilla,,,,,,
"Murcia, Región de",17,9,26,0,0,0
"Navarra, Comunidad Foral de",1,6,7,0,0,0
País Vasco,4,6,10,0,0,0
"Rioja, La",13,6,19,1,0,1
TOTAL,176,166,342,18,14,32
