clase_id,clase,ORPHAcode,nombre_enfermedad
146,Rare cardiac diseases,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
150,Rare inborn errors of metabolism,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
156,Rare genetic diseases,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
181,Rare neurological diseases,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
189,Rare ophthalmic disorders,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
193,Rare endocrine diseases,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
233,Rare transplant-related disorders,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
150,Rare inborn errors of metabolism,6,3-methylcrotonyl-CoA carboxylase deficiency
156,Rare genetic diseases,6,3-methylcrotonyl-CoA carboxylase deficiency
147,Rare developmental anomalies during embryogenesis,7,3C syndrome
156,Rare genetic diseases,7,3C syndrome
181,Rare neurological diseases,7,3C syndrome
147,Rare developmental anomalies during embryogenesis,8,"47,XYY syndrome"
156,Rare genetic diseases,8,"47,XYY syndrome"
147,Rare developmental anomalies during embryogenesis,9,Tetrasomy X syndrome
156,Rare genetic diseases,9,Tetrasomy X syndrome
193,Rare endocrine diseases,9,Tetrasomy X syndrome
201,Rare infertility disorders,9,Tetrasomy X syndrome
205,Rare gynecological and obstetric diseases,9,Tetrasomy X syndrome
147,Rare developmental anomalies during embryogenesis,10,"48,XXYY syndrome"
156,Rare genetic diseases,10,"48,XXYY syndrome"
181,Rare neurological diseases,10,"48,XXYY syndrome"
185,Rare urogenital diseases,10,"48,XXYY syndrome"
193,Rare endocrine diseases,10,"48,XXYY syndrome"
147,Rare developmental anomalies during embryogenesis,11,Pentasomy X syndrome
156,Rare genetic diseases,11,Pentasomy X syndrome
150,Rare inborn errors of metabolism,13,6-pyruvoyl-tetrahydropterin synthase deficiency
156,Rare genetic diseases,13,6-pyruvoyl-tetrahydropterin synthase deficiency
181,Rare neurological diseases,13,6-pyruvoyl-tetrahydropterin synthase deficiency
150,Rare inborn errors of metabolism,14,Abetalipoproteinemia
152,Rare gastroenterological diseases,14,Abetalipoproteinemia
156,Rare genetic diseases,14,Abetalipoproteinemia
181,Rare neurological diseases,14,Abetalipoproteinemia
189,Rare ophthalmic disorders,14,Abetalipoproteinemia
193,Rare endocrine diseases,14,Abetalipoproteinemia
194,Rare hematological diseases,14,Abetalipoproteinemia
147,Rare developmental anomalies during embryogenesis,15,Achondroplasia
156,Rare genetic diseases,15,Achondroplasia
199,Rare bone diseases,15,Achondroplasia
156,Rare genetic diseases,16,Blue cone monochromatism
189,Rare ophthalmic disorders,16,Blue cone monochromatism
150,Rare inborn errors of metabolism,17,Fatal infantile lactic acidosis with methylmalonic aciduria
156,Rare genetic diseases,17,Fatal infantile lactic acidosis with methylmalonic aciduria
181,Rare neurological diseases,17,Fatal infantile lactic acidosis with methylmalonic aciduria
156,Rare genetic diseases,18,Distal renal tubular acidosis
188,Rare renal diseases,18,Distal renal tubular acidosis
233,Rare transplant-related disorders,18,Distal renal tubular acidosis
150,Rare inborn errors of metabolism,19,2-hydroxyglutaric aciduria
156,Rare genetic diseases,19,2-hydroxyglutaric aciduria
181,Rare neurological diseases,19,2-hydroxyglutaric aciduria
150,Rare inborn errors of metabolism,20,3-hydroxy-3-methylglutaric aciduria
156,Rare genetic diseases,20,3-hydroxy-3-methylglutaric aciduria
150,Rare inborn errors of metabolism,22,Succinic semialdehyde dehydrogenase deficiency
156,Rare genetic diseases,22,Succinic semialdehyde dehydrogenase deficiency
181,Rare neurological diseases,22,Succinic semialdehyde dehydrogenase deficiency
150,Rare inborn errors of metabolism,23,Argininosuccinic aciduria
156,Rare genetic diseases,23,Argininosuccinic aciduria
181,Rare neurological diseases,23,Argininosuccinic aciduria
150,Rare inborn errors of metabolism,24,Fumaric aciduria
156,Rare genetic diseases,24,Fumaric aciduria
181,Rare neurological diseases,24,Fumaric aciduria
