ORPHAcode,fenotipo_id,frecuencia
58,HP:0000256,Very frequent (99-80%)
58,HP:0001249,Very frequent (99-80%)
58,HP:0001250,Very frequent (99-80%)
58,HP:0001257,Very frequent (99-80%)
58,HP:0001274,Very frequent (99-80%)
58,HP:0001347,Very frequent (99-80%)
58,HP:0001355,Very frequent (99-80%)
58,HP:0001508,Very frequent (99-80%)
58,HP:0002007,Very frequent (99-80%)
58,HP:0002017,Very frequent (99-80%)
58,HP:0002167,Very frequent (99-80%)
58,HP:0002169,Very frequent (99-80%)
58,HP:0002353,Very frequent (99-80%)
58,HP:0002360,Very frequent (99-80%)
58,HP:0002650,Very frequent (99-80%)
58,HP:0007256,Very frequent (99-80%)
58,HP:0100729,Very frequent (99-80%)
58,HP:0000496,Frequent (79-30%)
58,HP:0000508,Frequent (79-30%)
58,HP:0000639,Frequent (79-30%)
58,HP:0000651,Frequent (79-30%)
58,HP:0000712,Frequent (79-30%)
58,HP:0000716,Frequent (79-30%)
58,HP:0000975,Frequent (79-30%)
58,HP:0001251,Frequent (79-30%)
58,HP:0001260,Frequent (79-30%)
58,HP:0001288,Frequent (79-30%)
58,HP:0001337,Frequent (79-30%)
58,HP:0001618,Frequent (79-30%)
58,HP:0002015,Frequent (79-30%)
58,HP:0002019,Frequent (79-30%)
58,HP:0002045,Frequent (79-30%)
58,HP:0002381,Frequent (79-30%)
58,HP:0002445,Frequent (79-30%)
58,HP:0002514,Frequent (79-30%)
58,HP:0002615,Frequent (79-30%)
58,HP:0002808,Frequent (79-30%)
58,HP:0010535,Frequent (79-30%)
58,HP:0010628,Frequent (79-30%)
58,HP:0100247,Frequent (79-30%)
58,HP:0000218,Occasional (29-5%)
58,HP:0000238,Occasional (29-5%)
58,HP:0000470,Occasional (29-5%)
58,HP:0000819,Occasional (29-5%)
58,HP:0000821,Occasional (29-5%)
58,HP:0000822,Occasional (29-5%)
58,HP:0000826,Occasional (29-5%)
58,HP:0000938,Occasional (29-5%)
58,HP:0001252,Occasional (29-5%)
58,HP:0001324,Occasional (29-5%)
58,HP:0001645,Occasional (29-5%)
58,HP:0002072,Occasional (29-5%)
58,HP:0002093,Occasional (29-5%)
58,HP:0002376,Occasional (29-5%)
58,HP:0002383,Occasional (29-5%)
58,HP:0002410,Occasional (29-5%)
58,HP:0002607,Occasional (29-5%)
58,HP:0003307,Occasional (29-5%)
58,HP:0007481,Occasional (29-5%)
58,HP:0012332,Occasional (29-5%)
58,HP:0100716,Occasional (29-5%)
61,HP:0000158,Very frequent (99-80%)
61,HP:0000280,Very frequent (99-80%)
61,HP:0000365,Very frequent (99-80%)
61,HP:0000518,Very frequent (99-80%)
61,HP:0001249,Very frequent (99-80%)
61,HP:0001263,Very frequent (99-80%)
61,HP:0001744,Very frequent (99-80%)
61,HP:0002240,Very frequent (99-80%)
61,HP:0002652,Very frequent (99-80%)
61,HP:0002750,Very frequent (99-80%)
61,HP:0004493,Very frequent (99-80%)
61,HP:0005280,Very frequent (99-80%)
61,HP:0005978,Very frequent (99-80%)
61,HP:0007957,Very frequent (99-80%)
61,HP:0008821,Very frequent (99-80%)
61,HP:0000023,Frequent (79-30%)
61,HP:0000189,Frequent (79-30%)
61,HP:0000212,Frequent (79-30%)
61,HP:0000316,Frequent (79-30%)
61,HP:0000336,Frequent (79-30%)
61,HP:0000389,Frequent (79-30%)
61,HP:0000400,Frequent (79-30%)
61,HP:0000470,Frequent (79-30%)
61,HP:0000708,Frequent (79-30%)
61,HP:0001252,Frequent (79-30%)
61,HP:0001385,Frequent (79-30%)
61,HP:0002650,Frequent (79-30%)
61,HP:0002808,Frequent (79-30%)
61,HP:0006487,Frequent (79-30%)
61,HP:0010807,Frequent (79-30%)
61,HP:0011039,Frequent (79-30%)
61,HP:0011354,Frequent (79-30%)
61,HP:0000256,Occasional (29-5%)
61,HP:0000303,Occasional (29-5%)
61,HP:0000687,Occasional (29-5%)
61,HP:0000689,Occasional (29-5%)
61,HP:0000738,Occasional (29-5%)
61,HP:0001369,Occasional (29-5%)
61,HP:0002205,Occasional (29-5%)
61,HP:0002516,Occasional (29-5%)
61,HP:0010885,Occasional (29-5%)
61,HP:0100240,Occasional (29-5%)
93,HP:0000212,Very frequent (99-80%)
93,HP:0000303,Very frequent (99-80%)
93,HP:0000316,Very frequent (99-80%)
93,HP:0000431,Very frequent (99-80%)
93,HP:0000750,Very frequent (99-80%)
93,HP:0001249,Very frequent (99-80%)
93,HP:0001537,Very frequent (99-80%)
93,HP:0001999,Very frequent (99-80%)
93,HP:0002167,Very frequent (99-80%)
93,HP:0002650,Very frequent (99-80%)
93,HP:0003196,Very frequent (99-80%)
93,HP:0004337,Very frequent (99-80%)
93,HP:0008551,Very frequent (99-80%)
93,HP:0012068,Very frequent (99-80%)
93,HP:0012471,Very frequent (99-80%)
93,HP:0100660,Very frequent (99-80%)
93,HP:0100729,Very frequent (99-80%)
93,HP:0000053,Frequent (79-30%)
93,HP:0000158,Frequent (79-30%)
93,HP:0000164,Frequent (79-30%)
93,HP:0000280,Frequent (79-30%)
93,HP:0000670,Frequent (79-30%)
93,HP:0000768,Frequent (79-30%)
93,HP:0002684,Frequent (79-30%)
93,HP:0003103,Frequent (79-30%)
93,HP:0008430,Frequent (79-30%)
93,HP:0040071,Frequent (79-30%)
93,HP:0000023,Occasional (29-5%)
93,HP:0000389,Occasional (29-5%)
93,HP:0000708,Occasional (29-5%)
93,HP:0001250,Occasional (29-5%)
93,HP:0001369,Occasional (29-5%)
93,HP:0001387,Occasional (29-5%)
93,HP:0001744,Occasional (29-5%)
93,HP:0001763,Occasional (29-5%)
93,HP:0002024,Occasional (29-5%)
93,HP:0002205,Occasional (29-5%)
93,HP:0002240,Occasional (29-5%)
93,HP:0002360,Occasional (29-5%)
93,HP:0002750,Occasional (29-5%)
93,HP:0003468,Occasional (29-5%)
93,HP:0004568,Occasional (29-5%)
93,HP:0011276,Occasional (29-5%)
585,HP:0000238,Frequent (79-30%)
585,HP:0000252,Occasional (29-5%)
585,HP:0000256,Frequent (79-30%)
585,HP:0000280,Frequent (79-30%)
585,HP:0000319,Frequent (79-30%)
585,HP:0000407,Frequent (79-30%)
585,HP:0000463,Frequent (79-30%)
585,HP:0000505,Very frequent (99-80%)
585,HP:0000518,Frequent (79-30%)
585,HP:0000574,Frequent (79-30%)
585,HP:0000648,Frequent (79-30%)
585,HP:0001249,Very frequent (99-80%)
585,HP:0001250,Frequent (79-30%)
585,HP:0001263,Very frequent (99-80%)
585,HP:0001319,Very frequent (99-80%)
585,HP:0001387,Frequent (79-30%)
585,HP:0001744,Very frequent (99-80%)
585,HP:0002208,Frequent (79-30%)
585,HP:0002240,Very frequent (99-80%)
585,HP:0002376,Very frequent (99-80%)
585,HP:0003134,Very frequent (99-80%)
585,HP:0004322,Frequent (79-30%)
585,HP:0005280,Frequent (79-30%)
585,HP:0007307,Very frequent (99-80%)
585,HP:0007703,Frequent (79-30%)
585,HP:0007957,Frequent (79-30%)
585,HP:0008064,Very frequent (99-80%)
585,HP:0008155,Very frequent (99-80%)
585,HP:0010059,Frequent (79-30%)
585,HP:0011304,Frequent (79-30%)
118,HP:0000365,Very frequent (99-80%)
118,HP:0001249,Very frequent (99-80%)
118,HP:0001250,Very frequent (99-80%)
118,HP:0001999,Very frequent (99-80%)
118,HP:0002205,Very frequent (99-80%)
118,HP:0005247,Very frequent (99-80%)
141,HP:0000256,Frequent (79-30%)
141,HP:0000365,Frequent (79-30%)
141,HP:0000505,Frequent (79-30%)
141,HP:0000618,Frequent (79-30%)
141,HP:0000648,Very frequent (99-80%)
141,HP:0000649,Frequent (79-30%)
141,HP:0001250,Occasional (29-5%)
141,HP:0001252,Frequent (79-30%)
141,HP:0001263,Very frequent (99-80%)
141,HP:0001276,Frequent (79-30%)
141,HP:0001371,Occasional (29-5%)
141,HP:0002020,Frequent (79-30%)
141,HP:0002353,Very frequent (99-80%)
141,HP:0002376,Occasional (29-5%)
141,HP:0004372,Very frequent (99-80%)
141,HP:0007703,Occasional (29-5%)
141,HP:0008872,Very frequent (99-80%)
141,HP:0100543,Very frequent (99-80%)
213,HP:0000093,Very frequent (99-80%)
213,HP:0000112,Very frequent (99-80%)
213,HP:0000124,Very frequent (99-80%)
213,HP:0000613,Very frequent (99-80%)
213,HP:0000821,Very frequent (99-80%)
213,HP:0000823,Very frequent (99-80%)
213,HP:0001324,Very frequent (99-80%)
213,HP:0001508,Very frequent (99-80%)
213,HP:0001944,Very frequent (99-80%)
213,HP:0001959,Very frequent (99-80%)
213,HP:0001994,Very frequent (99-80%)
213,HP:0002013,Very frequent (99-80%)
213,HP:0002148,Very frequent (99-80%)
213,HP:0002900,Very frequent (99-80%)
213,HP:0003198,Very frequent (99-80%)
213,HP:0003355,Very frequent (99-80%)
213,HP:0004322,Very frequent (99-80%)
213,HP:0007957,Very frequent (99-80%)
213,HP:0009806,Very frequent (99-80%)
213,HP:0012378,Very frequent (99-80%)
213,HP:0100651,Very frequent (99-80%)
213,HP:0000083,Frequent (79-30%)
213,HP:0000121,Frequent (79-30%)
213,HP:0000135,Frequent (79-30%)
213,HP:0000488,Frequent (79-30%)
213,HP:0000585,Frequent (79-30%)
213,HP:0000787,Frequent (79-30%)
213,HP:0001510,Frequent (79-30%)
213,HP:0001744,Frequent (79-30%)
213,HP:0001942,Occasional (29-5%)
213,HP:0002240,Frequent (79-30%)
213,HP:0002748,Frequent (79-30%)
213,HP:0002749,Frequent (79-30%)
213,HP:0002901,Frequent (79-30%)
213,HP:0003076,Frequent (79-30%)
213,HP:0003109,Frequent (79-30%)
213,HP:0003155,Frequent (79-30%)
213,HP:0003458,Frequent (79-30%)
213,HP:0011968,Frequent (79-30%)
213,HP:0012072,Frequent (79-30%)
213,HP:0000027,Occasional (29-5%)
213,HP:0000505,Occasional (29-5%)
213,HP:0001252,Occasional (29-5%)
213,HP:0001256,Occasional (29-5%)
213,HP:0001288,Occasional (29-5%)
213,HP:0001409,Occasional (29-5%)
213,HP:0001738,Occasional (29-5%)
213,HP:0001945,Occasional (29-5%)
213,HP:0001952,Occasional (29-5%)
213,HP:0002019,Occasional (29-5%)
213,HP:0002024,Occasional (29-5%)
213,HP:0002381,Occasional (29-5%)
213,HP:0002902,Occasional (29-5%)
213,HP:0003234,Occasional (29-5%)
213,HP:0006824,Occasional (29-5%)
213,HP:0012093,Occasional (29-5%)
349,HP:0000164,Occasional (29-5%)
349,HP:0000248,Very frequent (99-80%)
349,HP:0000280,Very frequent (99-80%)
349,HP:0000365,Very frequent (99-80%)
349,HP:0000821,Very frequent (99-80%)
349,HP:0000943,Very frequent (99-80%)
349,HP:0000975,Very frequent (99-80%)
349,HP:0001063,Occasional (29-5%)
349,HP:0001250,Frequent (79-30%)
349,HP:0001252,Frequent (79-30%)
349,HP:0001257,Frequent (79-30%)
349,HP:0001263,Very frequent (99-80%)
349,HP:0001508,Very frequent (99-80%)
349,HP:0001597,Occasional (29-5%)
349,HP:0001626,Frequent (79-30%)
349,HP:0001640,Occasional (29-5%)
349,HP:0001999,Very frequent (99-80%)
349,HP:0002240,Very frequent (99-80%)
349,HP:0002510,Frequent (79-30%)
349,HP:0002808,Very frequent (99-80%)
349,HP:0003199,Frequent (79-30%)
349,HP:0005264,Frequent (79-30%)
349,HP:0005595,Very frequent (99-80%)
349,HP:0007256,Occasional (29-5%)
349,HP:0007957,Frequent (79-30%)
349,HP:0008155,Very frequent (99-80%)
349,HP:0008430,Very frequent (99-80%)
349,HP:0010864,Very frequent (99-80%)
349,HP:0011220,Very frequent (99-80%)
349,HP:0011276,Frequent (79-30%)
349,HP:0100578,Very frequent (99-80%)
366,HP:0000293,Very frequent (99-80%)
366,HP:0001256,Very frequent (99-80%)
366,HP:0001943,Very frequent (99-80%)
366,HP:0002155,Very frequent (99-80%)
366,HP:0002721,Very frequent (99-80%)
366,HP:0003198,Frequent (79-30%)
366,HP:0004322,Very frequent (99-80%)
487,HP:0000365,Very frequent (99-80%)
487,HP:0000407,Very frequent (99-80%)
487,HP:0000505,Very frequent (99-80%)
487,HP:0000708,Very frequent (99-80%)
487,HP:0000763,Very frequent (99-80%)
487,HP:0001172,Very frequent (99-80%)
487,HP:0001251,Very frequent (99-80%)
487,HP:0001257,Very frequent (99-80%)
487,HP:0001263,Very frequent (99-80%)
487,HP:0001939,Very frequent (99-80%)
487,HP:0002676,Very frequent (99-80%)
487,HP:0003457,Very frequent (99-80%)
487,HP:0009830,Very frequent (99-80%)
487,HP:0010318,Very frequent (99-80%)
487,HP:0011968,Very frequent (99-80%)
487,HP:0034322,Very frequent (99-80%)
487,HP:0000737,Frequent (79-30%)
487,HP:0001250,Frequent (79-30%)
487,HP:0001288,Frequent (79-30%)
487,HP:0001508,Frequent (79-30%)
487,HP:0001945,Frequent (79-30%)
487,HP:0002013,Frequent (79-30%)
487,HP:0002123,Frequent (79-30%)
487,HP:0002205,Frequent (79-30%)
487,HP:0002313,Frequent (79-30%)
487,HP:0002376,Frequent (79-30%)
487,HP:0003134,Frequent (79-30%)
487,HP:0004374,Frequent (79-30%)
487,HP:0033031,Frequent (79-30%)
487,HP:0000020,Occasional (29-5%)
487,HP:0000618,Occasional (29-5%)
487,HP:0000648,Occasional (29-5%)
487,HP:0001188,Occasional (29-5%)
487,HP:0001265,Occasional (29-5%)
487,HP:0001324,Occasional (29-5%)
487,HP:0001336,Occasional (29-5%)
487,HP:0001761,Occasional (29-5%)
487,HP:0001824,Occasional (29-5%)
487,HP:0002179,Occasional (29-5%)
487,HP:0002312,Occasional (29-5%)
487,HP:0002355,Occasional (29-5%)
487,HP:0002359,Occasional (29-5%)
487,HP:0002421,Occasional (29-5%)
487,HP:0002445,Occasional (29-5%)
487,HP:0002878,Occasional (29-5%)
487,HP:0002922,Occasional (29-5%)
487,HP:0025013,Occasional (29-5%)
487,HP:0030211,Occasional (29-5%)
487,HP:0100639,Occasional (29-5%)
487,HP:0100963,Occasional (29-5%)
371,HP:0001324,Frequent (79-30%)
371,HP:0001903,Very frequent (99-80%)
371,HP:0002149,Frequent (79-30%)
371,HP:0002486,Very frequent (99-80%)
371,HP:0003202,Frequent (79-30%)
371,HP:0009051,Very frequent (99-80%)
583,HP:0000179,Very frequent (99-80%)
583,HP:0000246,Very frequent (99-80%)
583,HP:0000280,Very frequent (99-80%)
583,HP:0000389,Very frequent (99-80%)
583,HP:0000944,Very frequent (99-80%)
583,HP:0001387,Very frequent (99-80%)
583,HP:0001508,Very frequent (99-80%)
583,HP:0002656,Very frequent (99-80%)
583,HP:0002788,Very frequent (99-80%)
583,HP:0003521,Very frequent (99-80%)
583,HP:0007759,Very frequent (99-80%)
583,HP:0008155,Very frequent (99-80%)
583,HP:0009928,Very frequent (99-80%)
583,HP:0000365,Frequent (79-30%)
583,HP:0000470,Frequent (79-30%)
583,HP:0000885,Frequent (79-30%)
583,HP:0001744,Frequent (79-30%)
583,HP:0002808,Frequent (79-30%)
583,HP:0002857,Frequent (79-30%)
583,HP:0003300,Frequent (79-30%)
583,HP:0100790,Frequent (79-30%)
583,HP:0000158,Occasional (29-5%)
583,HP:0000505,Occasional (29-5%)
583,HP:0001654,Occasional (29-5%)
583,HP:0002564,Occasional (29-5%)
583,HP:0030680,Occasional (29-5%)
583,HP:0100543,Occasional (29-5%)
812,HP:0000179,Very frequent (99-80%)
812,HP:0000280,Very frequent (99-80%)
812,HP:0000407,Very frequent (99-80%)
812,HP:0000431,Very frequent (99-80%)
812,HP:0000488,Very frequent (99-80%)
812,HP:0000505,Very frequent (99-80%)
812,HP:0000518,Occasional (29-5%)
812,HP:0000529,Very frequent (99-80%)
812,HP:0000639,Very frequent (99-80%)
812,HP:0000762,Frequent (79-30%)
812,HP:0000768,Very frequent (99-80%)
812,HP:0000943,Very frequent (99-80%)
812,HP:0000962,Very frequent (99-80%)
812,HP:0001249,Frequent (79-30%)
812,HP:0001250,Very frequent (99-80%)
812,HP:0001251,Very frequent (99-80%)
812,HP:0001252,Frequent (79-30%)
812,HP:0001288,Very frequent (99-80%)
812,HP:0001324,Frequent (79-30%)
812,HP:0001336,Very frequent (99-80%)
812,HP:0001337,Frequent (79-30%)
812,HP:0001350,Very frequent (99-80%)
812,HP:0001744,Very frequent (99-80%)
812,HP:0002007,Frequent (79-30%)
812,HP:0002167,Very frequent (99-80%)
812,HP:0002353,Frequent (79-30%)
812,HP:0002650,Very frequent (99-80%)
812,HP:0002652,Very frequent (99-80%)
812,HP:0002750,Very frequent (99-80%)
812,HP:0002808,Occasional (29-5%)
812,HP:0003202,Frequent (79-30%)
812,HP:0003312,Frequent (79-30%)
812,HP:0003355,Very frequent (99-80%)
812,HP:0003461,Very frequent (99-80%)
812,HP:0004322,Very frequent (99-80%)
812,HP:0007957,Very frequent (99-80%)
812,HP:0010306,Very frequent (99-80%)
812,HP:0010729,Very frequent (99-80%)
812,HP:0011276,Very frequent (99-80%)
812,HP:0012061,Very frequent (99-80%)
812,HP:0100022,Very frequent (99-80%)
812,HP:0100790,Frequent (79-30%)
578,HP:0000232,Occasional (29-5%)
578,HP:0000252,Occasional (29-5%)
578,HP:0000280,Occasional (29-5%)
578,HP:0000486,Very frequent (99-80%)
578,HP:0000488,Very frequent (99-80%)
578,HP:0000512,Occasional (29-5%)
578,HP:0000613,Very frequent (99-80%)
578,HP:0000639,Frequent (79-30%)
578,HP:0000691,Occasional (29-5%)
578,HP:0000708,Very frequent (99-80%)
578,HP:0000982,Occasional (29-5%)
578,HP:0001249,Very frequent (99-80%)
578,HP:0001251,Frequent (79-30%)
578,HP:0001252,Frequent (79-30%)
578,HP:0001288,Very frequent (99-80%)
578,HP:0001344,Very frequent (99-80%)
578,HP:0001347,Very frequent (99-80%)
578,HP:0002353,Frequent (79-30%)
578,HP:0002816,Occasional (29-5%)
578,HP:0004345,Very frequent (99-80%)
578,HP:0004422,Occasional (29-5%)
578,HP:0005105,Occasional (29-5%)
578,HP:0007281,Very frequent (99-80%)
578,HP:0007703,Occasional (29-5%)
578,HP:0007957,Very frequent (99-80%)
578,HP:0010318,Very frequent (99-80%)
578,HP:0011020,Very frequent (99-80%)
577,HP:0002857,Frequent (79-30%)
577,HP:0003307,Frequent (79-30%)
577,HP:0007957,Frequent (79-30%)
577,HP:0000269,Very frequent (99-80%)
577,HP:0000505,Very frequent (99-80%)
577,HP:0001387,Very frequent (99-80%)
577,HP:0003264,Very frequent (99-80%)
577,HP:0003272,Very frequent (99-80%)
577,HP:0003312,Very frequent (99-80%)
577,HP:0004322,Very frequent (99-80%)
577,HP:0004493,Very frequent (99-80%)
577,HP:0008818,Very frequent (99-80%)
577,HP:0008821,Very frequent (99-80%)
577,HP:0025261,Very frequent (99-80%)
577,HP:0000280,Frequent (79-30%)
577,HP:0000938,Frequent (79-30%)
577,HP:0000943,Frequent (79-30%)
577,HP:0001385,Frequent (79-30%)
577,HP:0001634,Frequent (79-30%)
577,HP:0002650,Frequent (79-30%)
577,HP:0002758,Frequent (79-30%)
577,HP:0009837,Frequent (79-30%)
