ORPHAcode,nombre_enfermedad
5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
6,3-methylcrotonyl-CoA carboxylase deficiency
7,3C syndrome
8,"47,XYY syndrome"
9,Tetrasomy X syndrome
10,"48,XXYY syndrome"
11,Pentasomy X syndrome
13,6-pyruvoyl-tetrahydropterin synthase deficiency
14,Abetalipoproteinemia
15,Achondroplasia
16,Blue cone monochromatism
17,Fatal infantile lactic acidosis with methylmalonic aciduria
18,Distal renal tubular acidosis
19,2-hydroxyglutaric aciduria
20,3-hydroxy-3-methylglutaric aciduria
22,Succinic semialdehyde dehydrogenase deficiency
23,Argininosuccinic aciduria
24,Fumaric aciduria
25,Glutaryl-CoA dehydrogenase deficiency
26,Methylmalonic acidemia with homocystinuria
27,Vitamin B12-unresponsive methylmalonic acidemia
28,Vitamin B12-responsive methylmalonic acidemia
29,Mevalonic aciduria
30,Hereditary orotic aciduria
31,Oxoglutaric aciduria
32,Glutathione synthetase deficiency
33,Isovaleric acidemia
35,Propionic acidemia
36,Acrocallosal syndrome
37,Acrodermatitis enteropathica
38,Acrokeratoelastoidosis of Costa
39,Acromelanosis
40,"Acromesomelic dysplasia, Maroteaux type"
41,Dyschromatosis symmetrica hereditaria
42,Medium chain acyl-CoA dehydrogenase deficiency
43,X-linked adrenoleukodystrophy
44,Neonatal adrenoleukodystrophy
45,Adenosine monophosphate deaminase deficiency
46,Adenylosuccinate lyase deficiency
47,X-linked agammaglobulinemia
48,Congenital bilateral absence of vas deferens
49,Penile agenesis
50,Aicardi syndrome
51,Aicardi-Goutières syndrome
52,Alagille syndrome
53,Albers-Schönberg osteopetrosis
54,X-linked recessive ocular albinism
55,Oculocutaneous albinism
56,Alkaptonuria
57,Glycogen storage disease due to aldolase A deficiency
58,Alexander disease
59,Allan-Herndon-Dudley syndrome
60,Alpha-1-antitrypsin deficiency
61,Alpha-mannosidosis
62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
63,Alport syndrome
64,Alström syndrome
