ORPHAcode,simbolo_gen,nombre_gen
5,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
6,MCCC1,methylcrotonyl-CoA carboxylase subunit 1
6,MCCC2,methylcrotonyl-CoA carboxylase subunit 2
7,CCDC22,coiled-coil domain containing 22
7,DPYSL5,dihydropyrimidinase like 5
7,WASHC5,WASH complex subunit 5
7,VPS35L,VPS35 endosomal protein sorting factor like
13,PTS,6-pyruvoyltetrahydropterin synthase
14,MTTP,microsomal triglyceride transfer protein
15,FGFR3,fibroblast growth factor receptor 3
16,OPN1LW,"opsin 1, long wave sensitive"
16,OPN1MW,"opsin 1, medium wave sensitive"
17,SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha
20,HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase
22,ALDH5A1,aldehyde dehydrogenase 5 family member A1
23,ASL,argininosuccinate lyase
24,FH,fumarate hydratase
25,GCDH,glutaryl-CoA dehydrogenase
29,MVK,mevalonate kinase
30,UMPS,uridine monophosphate synthetase
31,OGDH,oxoglutarate dehydrogenase
33,IVD,isovaleryl-CoA dehydrogenase
35,PCCA,propionyl-CoA carboxylase subunit alpha
35,PCCB,propionyl-CoA carboxylase subunit beta
36,KIF7,kinesin family member 7
36,GLI3,GLI family zinc finger 3
37,SLC39A4,solute carrier family 39 member 4
40,NPR2,natriuretic peptide receptor 2
41,ADAR,adenosine deaminase RNA specific
42,ACADM,acyl-CoA dehydrogenase medium chain
44,PEX1,peroxisomal biogenesis factor 1
44,PEX11B,peroxisomal biogenesis factor 11 beta
44,PEX5,peroxisomal biogenesis factor 5
44,PEX12,peroxisomal biogenesis factor 12
44,PEX6,peroxisomal biogenesis factor 6
44,PEX3,peroxisomal biogenesis factor 3
44,PEX13,peroxisomal biogenesis factor 13
44,PEX10,peroxisomal biogenesis factor 10
44,PEX2,peroxisomal biogenesis factor 2
44,PEX14,peroxisomal biogenesis factor 14
44,PEX16,peroxisomal biogenesis factor 16
44,PEX19,peroxisomal biogenesis factor 19
44,PEX26,peroxisomal biogenesis factor 26
45,AMPD1,adenosine monophosphate deaminase 1
45,AMPD3,adenosine monophosphate deaminase 3
46,ADSL,adenylosuccinate lyase
47,BTK,Bruton tyrosine kinase
48,CFTR,CF transmembrane conductance regulator
48,ADGRG2,adhesion G protein-coupled receptor G2
51,IFIH1,interferon induced with helicase C domain 1
51,ADAR,adenosine deaminase RNA specific
51,TREX1,three prime repair exonuclease 1
51,LSM11,"LSM11, U7 small nuclear RNA associated"
51,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
51,RNASEH2C,ribonuclease H2 subunit C
51,RNASEH2B,ribonuclease H2 subunit B
51,RNASEH2A,ribonuclease H2 subunit A
51,RNU7-1,"RNA, U7 small nuclear 1"
53,CLCN7,chloride voltage-gated channel 7
54,AP3D1,adaptor related protein complex 3 subunit delta 1
54,GPR143,G protein-coupled receptor 143
56,HGD,"homogentisate 1,2-dioxygenase"
