ORPHAcode,nombre_enfermedad,tipo_enfermedad,prevalencia_tipo,prevalencia_final,region_prevalencia,calidad_prevalencia,estado_validacion_prevalencia
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
58,Alexander disease,Disease,Annual incidence,0.037,Japan,Value and class,Validated
58,Alexander disease,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
61,Alpha-mannosidosis,Disease,Point prevalence,0.1,Europe,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.09,Australia,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.13,Norway,Value and class,Not yet validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.09,Netherlands,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.12,Portugal,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.38,Czech Republic,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.07,Sweden,Value and class,Validated
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Cases/families,2.0,Worldwide,Case(s),Validated
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
93,Aspartylglucosaminuria,Disease,Prevalence at birth,0.2,Australia,Value and class,Validated
93,Aspartylglucosaminuria,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
93,Aspartylglucosaminuria,Disease,Prevalence at birth,0.62,Sweden,Value and class,Validated
93,Aspartylglucosaminuria,Disease,Prevalence at birth,3.35,Finland,Value and class,Validated
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Cases/families,12.0,Worldwide,Case(s),Validated
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
585,Multiple sulfatase deficiency,Disease,Cases/families,154.0,Worldwide,Case(s),Validated
585,Multiple sulfatase deficiency,Disease,Point prevalence,0.2,Worldwide,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.14,Europe,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.16,Czech Republic,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.13,Netherlands,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.12,Portugal,Value and class,Validated
118,Beta-mannosidosis,Disease,Point prevalence,,Worldwide,Class only,Validated
141,Canavan disease,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
141,Canavan disease,Disease,Annual incidence,7.0,Specific population,Value and class,Validated
141,Canavan disease,Disease,Prevalence at birth,1.0,Worldwide,Value and class,Validated
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Cases/families,10.0,Worldwide,Family(ies),Validated
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
166078,Von Willebrand disease type 1,Clinical subtype,Point prevalence,0.0003,Europe,Class only,Not yet validated
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Cases/families,10.0,Worldwide,Case(s),Validated
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
213,Cystinosis,Disease,Prevalence at birth,0.75,Worldwide,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.5,Europe,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.31,France,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.59,Germany,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,2.1,United Kingdom,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.52,Australia,Value and class,Validated
213,Cystinosis,Disease,Point prevalence,1.5,Europe,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.87,Denmark,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.38,Sweden,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,1.6,Specific population,Value and class,Validated
