ORPHAcode,fenotipo_id,Muy frecuente (80 - 99 %),Frecuente (30 - 79 %),Ocasional (5 - 29 %),Muy rara (1 - 4 %),Excluida (0 %),Siempre (100 %)
58,HP:0000256,1,0,0,0,0,0
58,HP:0001249,1,0,0,0,0,0
58,HP:0001250,1,0,0,0,0,0
58,HP:0001257,1,0,0,0,0,0
58,HP:0001274,1,0,0,0,0,0
58,HP:0001347,1,0,0,0,0,0
58,HP:0001355,1,0,0,0,0,0
58,HP:0001508,1,0,0,0,0,0
58,HP:0002007,1,0,0,0,0,0
58,HP:0002017,1,0,0,0,0,0
58,HP:0002167,1,0,0,0,0,0
58,HP:0002169,1,0,0,0,0,0
58,HP:0002353,1,0,0,0,0,0
58,HP:0002360,1,0,0,0,0,0
58,HP:0002650,1,0,0,0,0,0
58,HP:0007256,1,0,0,0,0,0
58,HP:0100729,1,0,0,0,0,0
58,HP:0000496,0,1,0,0,0,0
58,HP:0000508,0,1,0,0,0,0
58,HP:0000639,0,1,0,0,0,0
58,HP:0000651,0,1,0,0,0,0
58,HP:0000712,0,1,0,0,0,0
58,HP:0000716,0,1,0,0,0,0
58,HP:0000975,0,1,0,0,0,0
58,HP:0001251,0,1,0,0,0,0
58,HP:0001260,0,1,0,0,0,0
58,HP:0001288,0,1,0,0,0,0
58,HP:0001337,0,1,0,0,0,0
58,HP:0001618,0,1,0,0,0,0
58,HP:0002015,0,1,0,0,0,0
58,HP:0002019,0,1,0,0,0,0
58,HP:0002045,0,1,0,0,0,0
58,HP:0002381,0,1,0,0,0,0
58,HP:0002445,0,1,0,0,0,0
58,HP:0002514,0,1,0,0,0,0
58,HP:0002615,0,1,0,0,0,0
58,HP:0002808,0,1,0,0,0,0
58,HP:0010535,0,1,0,0,0,0
58,HP:0010628,0,1,0,0,0,0
58,HP:0100247,0,1,0,0,0,0
58,HP:0000218,0,0,1,0,0,0
58,HP:0000238,0,0,1,0,0,0
58,HP:0000470,0,0,1,0,0,0
58,HP:0000819,0,0,1,0,0,0
58,HP:0000821,0,0,1,0,0,0
58,HP:0000822,0,0,1,0,0,0
58,HP:0000826,0,0,1,0,0,0
58,HP:0000938,0,0,1,0,0,0
58,HP:0001252,0,0,1,0,0,0
58,HP:0001324,0,0,1,0,0,0
58,HP:0001645,0,0,1,0,0,0
58,HP:0002072,0,0,1,0,0,0
58,HP:0002093,0,0,1,0,0,0
58,HP:0002376,0,0,1,0,0,0
58,HP:0002383,0,0,1,0,0,0
58,HP:0002410,0,0,1,0,0,0
58,HP:0002607,0,0,1,0,0,0
58,HP:0003307,0,0,1,0,0,0
58,HP:0007481,0,0,1,0,0,0
58,HP:0012332,0,0,1,0,0,0
58,HP:0100716,0,0,1,0,0,0
61,HP:0000158,1,0,0,0,0,0
61,HP:0000280,1,0,0,0,0,0
61,HP:0000365,1,0,0,0,0,0
61,HP:0000518,1,0,0,0,0,0
61,HP:0001249,1,0,0,0,0,0
61,HP:0001263,1,0,0,0,0,0
61,HP:0001744,1,0,0,0,0,0
61,HP:0002240,1,0,0,0,0,0
61,HP:0002652,1,0,0,0,0,0
61,HP:0002750,1,0,0,0,0,0
61,HP:0004493,1,0,0,0,0,0
61,HP:0005280,1,0,0,0,0,0
61,HP:0005978,1,0,0,0,0,0
61,HP:0007957,1,0,0,0,0,0
61,HP:0008821,1,0,0,0,0,0
61,HP:0000023,0,1,0,0,0,0
61,HP:0000189,0,1,0,0,0,0
61,HP:0000212,0,1,0,0,0,0
61,HP:0000316,0,1,0,0,0,0
61,HP:0000336,0,1,0,0,0,0
61,HP:0000389,0,1,0,0,0,0
61,HP:0000400,0,1,0,0,0,0
61,HP:0000470,0,1,0,0,0,0
61,HP:0000708,0,1,0,0,0,0
61,HP:0001252,0,1,0,0,0,0
61,HP:0001385,0,1,0,0,0,0
61,HP:0002650,0,1,0,0,0,0
61,HP:0002808,0,1,0,0,0,0
61,HP:0006487,0,1,0,0,0,0
61,HP:0010807,0,1,0,0,0,0
61,HP:0011039,0,1,0,0,0,0
61,HP:0011354,0,1,0,0,0,0
61,HP:0000256,0,0,1,0,0,0
61,HP:0000303,0,0,1,0,0,0
61,HP:0000687,0,0,1,0,0,0
61,HP:0000689,0,0,1,0,0,0
61,HP:0000738,0,0,1,0,0,0
