ORPHAcode,nombre_enfermedad,tipo_enfermedad,edad_media_inicio,tipo_herencia
5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,['All ages'],['Autosomal recessive']
7,3C syndrome,Malformation syndrome,"['Antenatal', 'Infancy', 'Neonatal']","['Autosomal recessive', 'X-linked recessive']"
8,"47,XYY syndrome",Malformation syndrome,['All ages'],"['Not applicable', 'Unknown']"
9,Tetrasomy X syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
10,"48,XXYY syndrome",Malformation syndrome,"['Adolescent', 'Childhood', 'Infancy', 'Neonatal']","['Not applicable', 'Unknown']"
11,Pentasomy X syndrome,Malformation syndrome,['Neonatal'],[]
13,6-pyruvoyl-tetrahydropterin synthase deficiency,Clinical subtype,"['Infancy', 'Neonatal']",['Autosomal recessive']
14,Abetalipoproteinemia,Disease,"['Childhood', 'Infancy']",['Autosomal recessive']
15,Achondroplasia,Disease,['Neonatal'],['Autosomal dominant']
16,Blue cone monochromatism,Disease,['Infancy'],['X-linked recessive']
17,Fatal infantile lactic acidosis with methylmalonic aciduria,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
18,Distal renal tubular acidosis,Disease,['All ages'],"['Autosomal dominant', 'Autosomal recessive', 'Not applicable']"
19,2-hydroxyglutaric aciduria,Clinical group,['Childhood'],"['Autosomal dominant', 'Autosomal recessive']"
20,3-hydroxy-3-methylglutaric aciduria,Disease,['All ages'],['Autosomal recessive']
22,Succinic semialdehyde dehydrogenase deficiency,Disease,"['Childhood', 'Infancy', 'Neonatal']",['Autosomal recessive']
23,Argininosuccinic aciduria,Disease,['All ages'],['Autosomal recessive']
24,Fumaric aciduria,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
25,Glutaryl-CoA dehydrogenase deficiency,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
26,Methylmalonic acidemia with homocystinuria,Disease,['All ages'],"['Autosomal recessive', 'X-linked recessive']"
27,Vitamin B12-unresponsive methylmalonic acidemia,Disease,"['Childhood', 'Infancy', 'Neonatal']",['Autosomal recessive']
28,Vitamin B12-responsive methylmalonic acidemia,Disease,['Childhood'],['Autosomal recessive']
29,Mevalonic aciduria,Clinical subtype,"['Childhood', 'Infancy', 'Neonatal']",['Autosomal recessive']
30,Hereditary orotic aciduria,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
31,Oxoglutaric aciduria,Disease,['Neonatal'],['Autosomal recessive']
32,Glutathione synthetase deficiency,Disease,['Neonatal'],['Autosomal recessive']
33,Isovaleric acidemia,Disease,"['Adolescent', 'Adult', 'Childhood', 'Infancy', 'Neonatal']",['Autosomal recessive']
