ORPHAcode,Disorder,HPO_ID,HPO_Term,Frequency
58,Alexander disease,HP:0000256,Macrocephaly,Very frequent (99-80%)
58,Alexander disease,HP:0001249,Intellectual disability,Very frequent (99-80%)
58,Alexander disease,HP:0001250,Seizure,Very frequent (99-80%)
58,Alexander disease,HP:0001257,Spasticity,Very frequent (99-80%)
58,Alexander disease,HP:0001274,Agenesis of corpus callosum,Very frequent (99-80%)
58,Alexander disease,HP:0001347,Hyperreflexia,Very frequent (99-80%)
58,Alexander disease,HP:0001355,Megalencephaly,Very frequent (99-80%)
58,Alexander disease,HP:0001508,Failure to thrive,Very frequent (99-80%)
58,Alexander disease,HP:0002007,Frontal bossing,Very frequent (99-80%)
58,Alexander disease,HP:0002017,Nausea and vomiting,Very frequent (99-80%)
58,Alexander disease,HP:0002167,Abnormality of speech or vocalization,Very frequent (99-80%)
58,Alexander disease,HP:0002169,Clonus,Very frequent (99-80%)
58,Alexander disease,HP:0002353,EEG abnormality,Very frequent (99-80%)
58,Alexander disease,HP:0002360,Sleep abnormality,Very frequent (99-80%)
58,Alexander disease,HP:0002650,Scoliosis,Very frequent (99-80%)
58,Alexander disease,HP:0007256,Abnormal pyramidal sign,Very frequent (99-80%)
58,Alexander disease,HP:0100729,Large face,Very frequent (99-80%)
58,Alexander disease,HP:0000496,Abnormality of eye movement,Frequent (79-30%)
58,Alexander disease,HP:0000508,Ptosis,Frequent (79-30%)
58,Alexander disease,HP:0000639,Nystagmus,Frequent (79-30%)
58,Alexander disease,HP:0000651,Diplopia,Frequent (79-30%)
58,Alexander disease,HP:0000712,Emotional lability,Frequent (79-30%)
58,Alexander disease,HP:0000716,Depression,Frequent (79-30%)
58,Alexander disease,HP:0000975,Hyperhidrosis,Frequent (79-30%)
58,Alexander disease,HP:0001251,Ataxia,Frequent (79-30%)
58,Alexander disease,HP:0001260,Dysarthria,Frequent (79-30%)
58,Alexander disease,HP:0001288,Gait disturbance,Frequent (79-30%)
58,Alexander disease,HP:0001337,Tremor,Frequent (79-30%)
58,Alexander disease,HP:0001618,Dysphonia,Frequent (79-30%)
58,Alexander disease,HP:0002015,Dysphagia,Frequent (79-30%)
58,Alexander disease,HP:0002019,Constipation,Frequent (79-30%)
58,Alexander disease,HP:0002045,Hypothermia,Frequent (79-30%)
58,Alexander disease,HP:0002381,Aphasia,Frequent (79-30%)
58,Alexander disease,HP:0002445,Tetraplegia,Frequent (79-30%)
58,Alexander disease,HP:0002514,Cerebral calcification,Frequent (79-30%)
58,Alexander disease,HP:0002615,Hypotension,Frequent (79-30%)
58,Alexander disease,HP:0002808,Kyphosis,Frequent (79-30%)
58,Alexander disease,HP:0010535,Sleep apnea,Frequent (79-30%)
58,Alexander disease,HP:0010628,Facial palsy,Frequent (79-30%)
58,Alexander disease,HP:0100247,Recurrent singultus,Frequent (79-30%)
58,Alexander disease,HP:0000218,High palate,Occasional (29-5%)
58,Alexander disease,HP:0000238,Hydrocephalus,Occasional (29-5%)
58,Alexander disease,HP:0000470,Short neck,Occasional (29-5%)
58,Alexander disease,HP:0000819,Diabetes mellitus,Occasional (29-5%)
58,Alexander disease,HP:0000821,Hypothyroidism,Occasional (29-5%)
58,Alexander disease,HP:0000822,Hypertension,Occasional (29-5%)
58,Alexander disease,HP:0000826,Precocious puberty,Occasional (29-5%)
58,Alexander disease,HP:0000938,Osteopenia,Occasional (29-5%)
58,Alexander disease,HP:0001252,Hypotonia,Occasional (29-5%)
58,Alexander disease,HP:0001324,Muscle weakness,Occasional (29-5%)
58,Alexander disease,HP:0001645,Sudden cardiac death,Occasional (29-5%)
58,Alexander disease,HP:0002072,Chorea,Occasional (29-5%)
58,Alexander disease,HP:0002093,Respiratory insufficiency,Occasional (29-5%)
58,Alexander disease,HP:0002376,Developmental regression,Occasional (29-5%)
58,Alexander disease,HP:0002383,Infectious encephalitis,Occasional (29-5%)
58,Alexander disease,HP:0002410,Aqueductal stenosis,Occasional (29-5%)
58,Alexander disease,HP:0002607,Bowel incontinence,Occasional (29-5%)
58,Alexander disease,HP:0003307,Hyperlordosis,Occasional (29-5%)
58,Alexander disease,HP:0007481,Hyperpigmented nevi,Occasional (29-5%)
58,Alexander disease,HP:0012332,Abnormal autonomic nervous system physiology,Occasional (29-5%)
58,Alexander disease,HP:0100716,Self-injurious behavior,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0000158,Macroglossia,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0000280,Coarse facial features,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0000365,Hearing impairment,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0000518,Cataract,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0001249,Intellectual disability,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0001263,Global developmental delay,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0001744,Splenomegaly,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0002240,Hepatomegaly,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0002652,Skeletal dysplasia,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0002750,Delayed skeletal maturation,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0004493,Craniofacial hyperostosis,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0005280,Depressed nasal bridge,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0005978,Type II diabetes mellitus,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0007957,Corneal opacity,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0008821,Hypoplastic inferior ilia,Very frequent (99-80%)
61,Alpha-mannosidosis,HP:0000023,Inguinal hernia,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000189,Narrow palate,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000212,Gingival overgrowth,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000316,Hypertelorism,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000336,Prominent supraorbital ridges,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000389,Chronic otitis media,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000400,Macrotia,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000470,Short neck,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000708,Atypical behavior,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0001252,Hypotonia,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0001385,Hip dysplasia,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0002650,Scoliosis,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0002808,Kyphosis,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0006487,Bowing of the long bones,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0010807,Open bite,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0011039,Abnormality of the helix,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0011354,Generalized abnormality of skin,Frequent (79-30%)
61,Alpha-mannosidosis,HP:0000256,Macrocephaly,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0000303,Mandibular prognathia,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0000687,Widely spaced teeth,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0000689,Dental malocclusion,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0000738,Hallucinations,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0001369,Arthritis,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0002205,Recurrent respiratory infections,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0002516,Increased intracranial pressure,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0010885,Avascular necrosis,Occasional (29-5%)
61,Alpha-mannosidosis,HP:0100240,Synostosis of joints,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0000212,Gingival overgrowth,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0000303,Mandibular prognathia,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0000316,Hypertelorism,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0000431,Wide nasal bridge,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0000750,Delayed speech and language development,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0001249,Intellectual disability,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0001537,Umbilical hernia,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0001999,Abnormal facial shape,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0002167,Abnormality of speech or vocalization,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0002650,Scoliosis,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0003196,Short nose,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0004337,Abnormality of amino acid metabolism,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0008551,Microtia,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0012068,Aspartylglucosaminuria,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0012471,Thick vermilion border,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0100660,Dyskinesia,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0100729,Large face,Very frequent (99-80%)
93,Aspartylglucosaminuria,HP:0000053,Macroorchidism,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0000158,Macroglossia,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0000164,Abnormality of the dentition,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0000280,Coarse facial features,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0000670,Carious teeth,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0000768,Pectus carinatum,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0002684,Thickened calvaria,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0003103,Abnormal cortical bone morphology,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0008430,Anterior beaking of lumbar vertebrae,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0040071,Abnormal morphology of ulna,Frequent (79-30%)
93,Aspartylglucosaminuria,HP:0000023,Inguinal hernia,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0000389,Chronic otitis media,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0000708,Atypical behavior,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0001250,Seizure,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0001369,Arthritis,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0001387,Joint stiffness,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0001744,Splenomegaly,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0001763,Pes planus,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0002024,Malabsorption,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0002205,Recurrent respiratory infections,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0002240,Hepatomegaly,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0002360,Sleep abnormality,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0002750,Delayed skeletal maturation,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0003468,Abnormal vertebral morphology,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0004568,Beaking of vertebral bodies,Occasional (29-5%)
93,Aspartylglucosaminuria,HP:0011276,Vascular skin abnormality,Occasional (29-5%)
585,Multiple sulfatase deficiency,HP:0000238,Hydrocephalus,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000252,Microcephaly,Occasional (29-5%)
585,Multiple sulfatase deficiency,HP:0000256,Macrocephaly,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000280,Coarse facial features,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000319,Smooth philtrum,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000407,Sensorineural hearing impairment,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000463,Anteverted nares,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000505,Visual impairment,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0000518,Cataract,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000574,Thick eyebrow,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0000648,Optic atrophy,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0001249,Intellectual disability,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0001250,Seizure,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0001263,Global developmental delay,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0001319,Neonatal hypotonia,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0001387,Joint stiffness,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0001744,Splenomegaly,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0002208,Coarse hair,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0002240,Hepatomegaly,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0002376,Developmental regression,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0003134,Abnormality of peripheral nerve conduction,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0004322,Short stature,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0005280,Depressed nasal bridge,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0007307,Rapid neurologic deterioration,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0007703,Abnormality of retinal pigmentation,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0007957,Corneal opacity,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0008064,Ichthyosis,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0008155,Mucopolysacchariduria,Very frequent (99-80%)
585,Multiple sulfatase deficiency,HP:0010059,Broad hallux phalanx,Frequent (79-30%)
585,Multiple sulfatase deficiency,HP:0011304,Broad thumb,Frequent (79-30%)
118,Beta-mannosidosis,HP:0000365,Hearing impairment,Very frequent (99-80%)
118,Beta-mannosidosis,HP:0001249,Intellectual disability,Very frequent (99-80%)
118,Beta-mannosidosis,HP:0001250,Seizure,Very frequent (99-80%)
118,Beta-mannosidosis,HP:0001999,Abnormal facial shape,Very frequent (99-80%)
118,Beta-mannosidosis,HP:0002205,Recurrent respiratory infections,Very frequent (99-80%)
118,Beta-mannosidosis,HP:0005247,Hypoplasia of the abdominal wall musculature,Very frequent (99-80%)
141,Canavan disease,HP:0000256,Macrocephaly,Frequent (79-30%)
141,Canavan disease,HP:0000365,Hearing impairment,Frequent (79-30%)
141,Canavan disease,HP:0000505,Visual impairment,Frequent (79-30%)
141,Canavan disease,HP:0000618,Blindness,Frequent (79-30%)
141,Canavan disease,HP:0000648,Optic atrophy,Very frequent (99-80%)
141,Canavan disease,HP:0000649,Abnormality of visual evoked potentials,Frequent (79-30%)
141,Canavan disease,HP:0001250,Seizure,Occasional (29-5%)
141,Canavan disease,HP:0001252,Hypotonia,Frequent (79-30%)
141,Canavan disease,HP:0001263,Global developmental delay,Very frequent (99-80%)
141,Canavan disease,HP:0001276,Hypertonia,Frequent (79-30%)
141,Canavan disease,HP:0001371,Flexion contracture,Occasional (29-5%)
141,Canavan disease,HP:0002020,Gastroesophageal reflux,Frequent (79-30%)
141,Canavan disease,HP:0002353,EEG abnormality,Very frequent (99-80%)
141,Canavan disease,HP:0002376,Developmental regression,Occasional (29-5%)
141,Canavan disease,HP:0004372,Reduced consciousness/confusion,Very frequent (99-80%)
141,Canavan disease,HP:0007703,Abnormality of retinal pigmentation,Occasional (29-5%)
141,Canavan disease,HP:0008872,Feeding difficulties in infancy,Very frequent (99-80%)
141,Canavan disease,HP:0100543,Cognitive impairment,Very frequent (99-80%)
213,Cystinosis,HP:0000093,Proteinuria,Very frequent (99-80%)
213,Cystinosis,HP:0000112,Nephropathy,Very frequent (99-80%)
213,Cystinosis,HP:0000124,Renal tubular dysfunction,Very frequent (99-80%)
213,Cystinosis,HP:0000613,Photophobia,Very frequent (99-80%)
213,Cystinosis,HP:0000821,Hypothyroidism,Very frequent (99-80%)
213,Cystinosis,HP:0000823,Delayed puberty,Very frequent (99-80%)
213,Cystinosis,HP:0001324,Muscle weakness,Very frequent (99-80%)
213,Cystinosis,HP:0001508,Failure to thrive,Very frequent (99-80%)
