ORPHAcode,Disorder name,Disorder type,Gene symbol,Gene name,Gene type,Gene synonyms,Locus,Validation source
5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,Disease,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,gene with protein product,"['GBP', 'LCEH', 'LCHAD', 'MTPA', 'gastrin-binding protein', 'long-chain 2-enoyl-CoA hydratase', 'long-chain-3-hydroxyacyl-CoA dehydrogenase', 'mitochondrial trifunctional protein, alpha subunit']","[{'GeneLocus': '2p23.3', 'LocusKey': 1}]",
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,MCCC1,methylcrotonyl-CoA carboxylase subunit 1,gene with protein product,"['3-methylcrotonyl-CoA carboxylase biotin containing subunit', 'MCCA', 'MCCCa', 'methylcrotonoyl-CoA carboxylase alpha']","[{'GeneLocus': '3q27.1', 'LocusKey': 1}]",22642865[PMID]_22264772[PMID]
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,MCCC2,methylcrotonyl-CoA carboxylase subunit 2,gene with protein product,"['3-methylcrotonyl-CoA carboxylase non-biotin containing subunit', 'MCCB', 'MCCCß', 'methylcrotonoyl-CoA carboxylase beta']","[{'GeneLocus': '5q13.2', 'LocusKey': 1}]",22642865[PMID]_22264772[PMID]
7,3C syndrome,Malformation syndrome,VPS35L,VPS35 endosomal protein sorting factor like,gene with protein product,['MGC16824'],"[{'GeneLocus': '16p12.3', 'LocusKey': 1}]",31712251[PMID]
7,3C syndrome,Malformation syndrome,DPYSL5,dihydropyrimidinase like 5,gene with protein product,"['CRAM', 'CRMP-5', 'CRMP5', 'CV2', 'Ulip6', 'collapsin response mediator protein 5']","[{'GeneLocus': '2p23.3', 'LocusKey': 1}]",33894126[PMID]
7,3C syndrome,Malformation syndrome,WASHC5,WASH complex subunit 5,gene with protein product,['strumpellin'],"[{'GeneLocus': '8q24.13', 'LocusKey': 1}]",24065355[PMID]
7,3C syndrome,Malformation syndrome,CCDC22,coiled-coil domain containing 22,gene with protein product,['JM1'],"[{'GeneLocus': 'Xp11.23', 'LocusKey': 1}]",24916641[PMID]
13,6-pyruvoyl-tetrahydropterin synthase deficiency,Clinical subtype,PTS,6-pyruvoyltetrahydropterin synthase,gene with protein product,['PTPS'],"[{'GeneLocus': '11q23.1', 'LocusKey': 1}]",
14,Abetalipoproteinemia,Disease,MTTP,microsomal triglyceride transfer protein,gene with protein product,['ABL'],"[{'GeneLocus': '4q23', 'LocusKey': 1}]",22378282[PMID]_24288038[PMID]_23556456[PMID]
15,Achondroplasia,Disease,FGFR3,fibroblast growth factor receptor 3,gene with protein product,"['CD333', 'CEK2', 'JTK4']","[{'GeneLocus': '4p16.3', 'LocusKey': 1}]",23149434[PMID]
16,Blue cone monochromatism,Disease,OPN1MW,"opsin 1, medium wave sensitive",gene with protein product,"['COD5', 'OPN1MW1', 'cone dystrophy 5 (X-linked)']","[{'GeneLocus': 'Xq28', 'LocusKey': 1}]",15069569[PMID]
16,Blue cone monochromatism,Disease,OPN1LW,"opsin 1, long wave sensitive",gene with protein product,"['COD5', 'cone dystrophy 5 (X-linked)']","[{'GeneLocus': 'Xq28', 'LocusKey': 1}]",15069569[PMID]
17,Fatal infantile lactic acidosis with methylmalonic aciduria,Disease,SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha,gene with protein product,,"[{'GeneLocus': '2p11.2', 'LocusKey': 1}]",19526370[PMID]_21639866[PMID]
20,3-hydroxy-3-methylglutaric aciduria,Disease,HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase,gene with protein product,"['HL', 'HMG-CoA lyase', 'HMGCL1', 'Hydroxymethylglutaryl-CoA lyase, mitochondrial', 'hydroxymethylglutaricaciduria', 'hydroxymethylglutaryl-CoA lyase']","[{'GeneLocus': '1p36.11', 'LocusKey': 1}]",19177531[PMID]
22,Succinic semialdehyde dehydrogenase deficiency,Disease,ALDH5A1,aldehyde dehydrogenase 5 family member A1,gene with protein product,"['SSADH', 'SSDH', 'succinate-semialdehyde dehydrogenase']","[{'GeneLocus': '6p22.3', 'LocusKey': 1}]",20301374[PMID]
23,Argininosuccinic aciduria,Disease,ASL,argininosuccinate lyase,gene with protein product,['ASAL'],"[{'GeneLocus': '7q11.21', 'LocusKey': 1}]",12384776[PMID]_21290785[PMID]
