HGNC,name,symbol
4180,"1,4-alpha-glucan branching enzyme 1",GBE1
325,1-acylglycerol-3-phosphate O-acyltransferase 2,AGPAT2
5154,15-hydroxyprostaglandin dehydrogenase,HPGD
8086,2'-5'-oligoadenylate synthetase 1,OAS1
2859,24-dehydrocholesterol reductase,DHCR24
26019,"3'(2'), 5'-bisphosphate nucleotidase 2",BPNT2
8604,3'-phosphoadenosine 5'-phosphosulfate synthase 2,PAPSS2
5005,3-hydroxy-3-methylglutaryl-CoA lyase,HMGCL
5006,3-hydroxy-3-methylglutaryl-CoA reductase,HMGCR
5008,3-hydroxy-3-methylglutaryl-CoA synthase 2,HMGCS2
9639,3-hydroxyacyl-CoA dehydratase 1,HACD1
4796,"3-hydroxyanthranilate 3,4-dioxygenase",HAAO
4908,3-hydroxyisobutyryl-CoA hydrolase,HIBCH
4021,3-ketodihydrosphingosine reductase,KDSR
8527,3-oxoacid CoA-transferase 1,OXCT1
23,4-aminobutyrate aminotransferase,ABAT
25155,4-hydroxy-2-oxoglutarate aldolase 1,HOGA1
5147,4-hydroxyphenylpyruvate dioxygenase,HPD
28242,4-hydroxyphenylpyruvate dioxygenase like,HPDL
397,5'-aminolevulinate synthase 2,ALAS2
8021,5'-nucleotidase ecto,NT5E
8022,"5'-nucleotidase, cytosolic II",NT5C2
17820,"5'-nucleotidase, cytosolic IIIA",NT5C3A
794,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,ATIC
5286,5-hydroxytryptamine receptor 1A,HTR1A
7468,5-methyltetrahydrofolate-homocysteine methyltransferase,MTR
7473,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,MTRR
8149,"5-oxoprolinase, ATP-hydrolysing",OPLAH
9689,6-pyruvoyltetrahydropterin synthase,PTS
2860,7-dehydrocholesterol reductase,DHCR7
8125,8-oxoguanine DNA glycosylase,OGG1
373,A-kinase anchoring protein 3,AKAP3
374,A-kinase anchoring protein 4,AKAP4
379,A-kinase anchoring protein 9,AKAP9
76,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1
25070,ACD shelterin complex subunit and telomerase recruitment factor,ACD
188,ADAM metallopeptidase domain 10,ADAM10
195,ADAM metallopeptidase domain 17,ADAM17
216,ADAM metallopeptidase domain 9,ADAM9
